field_id,year,crop_id,standard_name,target_yield_t_ha,oof_pred_t_ha
230,2023,43.0,wheat_spring,0.9786995515695068,2.8982678303517972
230,2025,43.0,wheat_spring,3.6687443946188343,2.9770409192858134
231,2017,43.0,wheat_spring,1.95,
231,2019,44.0,wheat_winter,4.303,
231,2021,44.0,wheat_winter,3.5069787234042553,
231,2022,44.0,wheat_winter,1.5712340425531914,2.9542696934350965
231,2024,43.0,wheat_spring,3.806382978723404,2.873164871503942
232,2017,43.0,wheat_spring,1.95,
232,2019,44.0,wheat_winter,3.404,
232,2021,44.0,wheat_winter,3.2479729729729727,
232,2022,44.0,wheat_winter,1.847837837837838,2.9791206864047384
232,2024,43.0,wheat_spring,3.330304054054054,2.9652149408936874
233,2020,43.0,wheat_spring,1.75,
233,2021,44.0,wheat_winter,3.6453846153846152,
234,2021,44.0,wheat_winter,5.389142857142858,
234,2022,43.0,wheat_spring,3.975428571428571,2.8391276116960933
234,2023,44.0,wheat_winter,1.7062857142857142,3.284549807362806
