peer_row_id,year,standard_name,crop,variety,previous_crop_name,previous_crop_productivity_estimate_crop_name,previous_crop_standard_name,area,target_yield_t_ha,target_source,asof_tag,ndvi_n_obs_asof,ndvi_mean_asof,ndvi_max_asof,ndvi_min_asof,ndvi_std_asof,ndvi_p25_asof,ndvi_p75_asof,ndvi_last_value_asof,ndvi_last_doy_asof,ndvi_peak_doy_asof,ndvi_amplitude_asof,ndvi_slope_asof,ndvi_integral_asof,ndvi_last30d_mean_asof,ndvi_above_05_n_asof,sowing_known_asof,sowing_doy,days_after_sowing_asof
8657,2017,sunflower,sunflower,missing,Soybean,soya,soya,112.6,3.19,productivity_estimate_peers_productivity_c_ha,07_01,33,0.27366666666666667,0.545,0.211,0.09555346485850028,0.212,0.289,0.545,181.0,181.0,0.3340000000000001,0.002116329194360004,32.2705,0.39011111111111113,3,0,,
8658,2016,sunflower,sunflower,Роккі,Winter Barley,barley_winter,barley_winter,32.29,3.22,productivity_estimate_peers_productivity_c_ha,07_01,26,0.25669230769230766,0.409,0.131,0.08379726874141369,0.19075,0.34325,0.409,178.0,178.0,0.27799999999999997,0.001982891135399157,34.606,0.3674285714285714,0,0,,
8659,2016,sunflower,sunflower,Роккі,Winter Barley,barley_winter,barley_winter,32.29,3.22,productivity_estimate_peers_productivity_c_ha,07_01,26,0.2566538461538462,0.409,0.131,0.08375602954538318,0.19075,0.34325,0.409,178.0,178.0,0.27799999999999997,0.001982420208226659,34.583,0.3674285714285714,0,0,,
8660,2012,sunflower,sunflower,НК Рокки,Winter Wheat,wheat_winter,wheat_winter,47.45,2.1100000000000003,productivity_estimate_peers_productivity_c_ha,07_01,41,0.3691463414634147,0.681,0.171,0.17267176827665212,0.236,0.523,0.675,175.0,174.0,0.51,0.006693714796017459,29.2125,0.5845333333333333,12,0,,
8661,2016,sunflower,sunflower,missing,missing,missing,missing,106.53,2.067,productivity_estimate_peers_productivity_c_ha,07_01,32,0.33003125,0.735,0.17,0.1854486931025331,0.213,0.3195,0.735,183.0,183.0,0.565,0.003746770911940633,49.7175,0.671,7,0,,
8662,2024,sunflower,sunflower,ЕС Савана,Corn,maize,maize,145.30867,2.06,productivity_estimate_peers_productivity_c_ha,07_01,58,0.32015517241379315,0.708,0.174,0.18187688159701065,0.1965,0.367,0.67,183.0,171.0,0.534,0.0042697244642280665,46.82449999999999,0.6295,14,0,,
8663,2018,sunflower,sunflower,missing,Winter Wheat,wheat_winter,wheat_winter,94.09,2.18,productivity_estimate_peers_productivity_c_ha,07_01,68,0.3375147058823529,0.656,0.178,0.18369023579089197,0.187,0.50675,0.605,182.0,176.0,0.47800000000000004,0.003921097799845123,48.721999999999994,0.60305,17,0,,
8664,2021,sunflower,sunflower,Пионер ЛЕ 10 Р63,Spring Wheat,wheat_spring,wheat_spring,364.16937,1.975,productivity_estimate_peers_productivity_c_ha,07_01,40,0.33890000000000003,0.658,0.128,0.1912730770390857,0.181,0.4825,0.653,181.0,177.0,0.53,0.00782022964089026,26.199499999999997,0.5688,9,1,125.0,57.0
8665,2023,sunflower,sunflower,Гранд,Winter Wheat,wheat_winter,wheat_winter,60.01188,2.0,productivity_estimate_peers_productivity_c_ha,07_01,56,0.23625000000000002,0.567,0.057,0.12511227100945319,0.17775,0.2725,0.567,181.0,181.0,0.5099999999999999,0.002554762415595407,33.6935,0.44960000000000006,5,0,,
8666,2022,sunflower,sunflower,Конді НК,Corn,maize,maize,140.65757,1.9971775999999999,productivity_estimate_peers_productivity_c_ha,07_01,43,0.23930232558139533,0.578,0.164,0.12940858942839725,0.173,0.196,0.578,182.0,182.0,0.4139999999999999,0.0021911728288738436,42.89150000000001,0.497125,5,1,105.0,77.0
8667,2022,sunflower,sunflower,Сузука,Winter Wheat,wheat_winter,wheat_winter,37.84749,2.071,productivity_estimate_peers_productivity_c_ha,07_01,55,0.3094,0.622,0.165,0.13713929216145695,0.18,0.349,0.622,182.0,182.0,0.45699999999999996,0.002666703845817845,46.439,0.4610526315789474,9,1,129.0,53.0
