feature,importance,scenario,asof_tag
ndvi_at_sow_gdd_600,2.0527789637535188,wheat_combined,08_01
ndvi_at_sow_gdd_800,0.12652012138593538,wheat_combined,08_01
ndvi_at_sow_gdd_1000,0.24905606488735488,wheat_combined,08_01
ndvi_at_sow_gdd_1200,0.10835069396482874,wheat_combined,08_01
ndvi_growth_per_100gdd_from_sow,0.48565846683112746,wheat_combined,08_01
scout_n_reports_asof,0.08198718834510575,wheat_combined,08_01
scout_has_report_asof,0.3156428083438486,wheat_combined,08_01
soil_sample_n_asof,0.0,wheat_combined,08_01
soil_sample_has_asof,0.0,wheat_combined,08_01
soil_sample_days_since_latest,0.21967046102791235,wheat_combined,08_01
soil_sample_n_tests_asof,0.0,wheat_combined,08_01
soil_sample_latest_soil_K,0.44152265992379097,wheat_combined,08_01
soil_sample_mean_soil_K,0.05990187405073135,wheat_combined,08_01
soil_sample_latest_soil_P,0.0007183291394883656,wheat_combined,08_01
soil_sample_mean_soil_P,0.014655254980450763,wheat_combined,08_01
soil_sample_latest_soil_S,0.2834669884335052,wheat_combined,08_01
soil_sample_mean_soil_S,0.0,wheat_combined,08_01
soil_sample_latest_soil_Cu,0.1035348972051691,wheat_combined,08_01
soil_sample_mean_soil_Cu,0.22424573654276272,wheat_combined,08_01
soil_sample_latest_soil_Fe,0.09513169386147094,wheat_combined,08_01
soil_sample_mean_soil_Fe,0.0649739900949922,wheat_combined,08_01
soil_sample_latest_soil_Mg,0.0,wheat_combined,08_01
soil_sample_mean_soil_Mg,0.0,wheat_combined,08_01
soil_sample_latest_soil_Mn,0.0,wheat_combined,08_01
soil_sample_mean_soil_Mn,0.0,wheat_combined,08_01
soil_sample_latest_soil_Mo,0.060079552790276575,wheat_combined,08_01
soil_sample_mean_soil_Mo,0.0,wheat_combined,08_01
soil_sample_latest_soil_Zn,0.0,wheat_combined,08_01
soil_sample_mean_soil_Zn,0.0,wheat_combined,08_01
soil_sample_latest_soil_pH,0.0,wheat_combined,08_01
soil_sample_mean_soil_pH,0.005279736479621621,wheat_combined,08_01
soil_sample_latest_soil_N_NO3,0.0,wheat_combined,08_01
soil_sample_mean_soil_N_NO3,0.0,wheat_combined,08_01
soil_sample_latest_soil_organic_matter,0.1302276833045679,wheat_combined,08_01
soil_sample_mean_soil_organic_matter,0.08428217938490327,wheat_combined,08_01
soil_sample_latest_soil_B,0.0,wheat_combined,08_01
soil_sample_mean_soil_B,0.0,wheat_combined,08_01
soil_sample_latest_soil_N,0.0,wheat_combined,08_01
soil_sample_mean_soil_N,0.0,wheat_combined,08_01
