scenario,asof_tag,asof_label,version,model,n_ml,n_cw,mape,rmse,mae,r2,cw_mape,cw_rmse,cw_mae,cw_r2
all_crops,07_01,1 Jul,v15_rates,v15_rates_no_field_id,130,130,30.167941604007048,1.038839045390873,0.8230707987118638,-0.11429808027543253,29.754716163108814,0.8342323487091365,0.6735404046153844,0.28141374479229764
all_crops,08_01,1 Aug,v12,v12_default,130,130,28.30523125288511,1.0358220303273467,0.813071491946823,-0.10783514969972186,28.910923210584556,0.7854906929510765,0.6265631984615383,0.36293031374188134
all_crops,08_01,1 Aug,v12,v12_shallow_l10,130,130,28.105410344507987,1.0337168466398616,0.7899869642421554,-0.10333664230571626,28.910923210584556,0.7854906929510765,0.6265631984615383,0.36293031374188134
all_crops,08_01,1 Aug,v12,v12_shallow_l30,130,130,28.327269628501323,1.0021826701470429,0.7897613733298696,-0.037047456228809006,28.910923210584556,0.7854906929510765,0.6265631984615383,0.36293031374188134
all_crops,08_01,1 Aug,v12,v12_no_field_id,130,130,27.49522070907766,1.0074728487695244,0.7832846298392164,-0.04802478849062641,28.910923210584556,0.7854906929510765,0.6265631984615383,0.36293031374188134
all_crops,08_01,1 Aug,v14,v14_shallow_l10,130,130,26.807342318804096,0.9999567256337434,0.7559301243540167,-0.03244580712228906,28.910923210584556,0.7854906929510765,0.6265631984615383,0.36293031374188134
all_crops,08_01,1 Aug,v14,v14_shallow_l30,130,130,27.46074776086372,0.9943201028020359,0.7784662009830461,-0.020839093420277788,28.910923210584556,0.7854906929510765,0.6265631984615383,0.36293031374188134
all_crops,08_01,1 Aug,v14,v14_no_field_id,130,130,27.781522487761183,1.0117568690838452,0.78298447074268,-0.05695665254150595,28.910923210584556,0.7854906929510765,0.6265631984615383,0.36293031374188134
all_crops,08_01,1 Aug,v15_rates,v15_rates_shallow_l10,130,130,27.042282853549622,0.9988517503731139,0.7572396729815088,-0.030165314926061004,28.910923210584556,0.7854906929510765,0.6265631984615383,0.36293031374188134
all_crops,08_01,1 Aug,v15_rates,v15_rates_shallow_l30,130,130,28.173774278698094,0.9996879662138571,0.7891077343122506,-0.03189089861506944,28.910923210584556,0.7854906929510765,0.6265631984615383,0.36293031374188134
all_crops,08_01,1 Aug,v15_rates,v15_rates_no_field_id,130,130,26.872513587138986,1.0055520717701034,0.7718990051933116,-0.04403241694851889,28.910923210584556,0.7854906929510765,0.6265631984615383,0.36293031374188134
all_crops,09_01,1 Sep,v12,v12_default,130,130,32.494400013687034,1.1383095756354809,0.9137941143009753,-0.33790609362875723,27.218223801432647,0.7575947120884983,0.5949642846153845,0.4073766997153354
all_crops,09_01,1 Sep,v12,v12_shallow_l10,130,130,28.244251628639063,1.0428691912166546,0.8114410824302339,-0.12296062469801461,27.218223801432647,0.7575947120884983,0.5949642846153845,0.4073766997153354
all_crops,09_01,1 Sep,v12,v12_shallow_l30,130,130,29.110680421894997,1.0553962525912852,0.8389379807105035,-0.15010091488437682,27.218223801432647,0.7575947120884983,0.5949642846153845,0.4073766997153354
all_crops,09_01,1 Sep,v12,v12_no_field_id,130,130,26.860582550296808,0.9997814264303329,0.7711072089313886,-0.032083849331926206,27.218223801432647,0.7575947120884983,0.5949642846153845,0.4073766997153354
all_crops,09_01,1 Sep,v14,v14_shallow_l10,130,130,28.49204681178833,1.0282155214775341,0.8082348319211644,-0.09162422372862777,27.218223801432647,0.7575947120884983,0.5949642846153845,0.4073766997153354
all_crops,09_01,1 Sep,v14,v14_shallow_l30,130,130,29.81104171887535,1.0628554589356867,0.849129434071977,-0.16641546267930685,27.218223801432647,0.7575947120884983,0.5949642846153845,0.4073766997153354
all_crops,09_01,1 Sep,v14,v14_no_field_id,130,130,29.020493972930623,1.0565278648747733,0.8263078822554722,-0.15256854928544605,27.218223801432647,0.7575947120884983,0.5949642846153845,0.4073766997153354
all_crops,09_01,1 Sep,v15_rates,v15_rates_shallow_l10,130,130,28.033420893259265,1.0156737415890262,0.7988452354401764,-0.06515620763106145,27.218223801432647,0.7575947120884983,0.5949642846153845,0.4073766997153354
all_crops,09_01,1 Sep,v15_rates,v15_rates_shallow_l30,130,130,29.92289289501504,1.077150272086701,0.8610071570169175,-0.19800172754223944,27.218223801432647,0.7575947120884983,0.5949642846153845,0.4073766997153354
all_crops,09_01,1 Sep,v15_rates,v15_rates_no_field_id,130,130,28.536753907701573,1.0430538830578355,0.8157684264477325,-0.12335841194206121,27.218223801432647,0.7575947120884983,0.5949642846153845,0.4073766997153354
