scenario,asof_tag,asof_label,variant,config,n,r2,rmse,mae,mape
all_crops,07_01,1 Jul,rates,l30,130,-0.023124707689743174,0.9954326001441539,0.8009048659598871,29.691345359372256
all_crops,07_01,1 Jul,rates,nofield,130,-0.09373775180289456,1.0292104203900172,0.8256324101336868,30.445409067972705
all_crops,07_01,1 Jul,nutrients,l30,130,-0.006808048410076761,0.9874631840591375,0.7855670310910972,28.828809948143487
all_crops,07_01,1 Jul,nutrients,nofield,130,-0.02577834081670738,0.9967226688559494,0.7898755915192033,29.050490400773736
all_crops,07_01,1 Jul,counts_rates,l30,130,-0.04348747433916067,1.0052896088025267,0.8006488748352449,29.7512892581049
all_crops,07_01,1 Jul,counts_rates,nofield,130,0.00841861284135803,0.9799676885077275,0.7942713355601215,29.78338058236712
all_crops,07_01,1 Jul,counts_rates_nutrients,l30,130,-0.04248766414844929,1.0048078877983384,0.7970840451851683,29.0201816703869
all_crops,07_01,1 Jul,counts_rates_nutrients,nofield,130,-0.0673660857612004,1.0167268041378632,0.8053165750345864,29.785744661949305
all_crops,08_01,1 Aug,v12_no_mgmt,l30,130,-0.037047456228809006,1.0021826701470429,0.7897613733298696,28.327269628501323
all_crops,08_01,1 Aug,v12_no_mgmt,nofield,130,-0.04802478849062641,1.0074728487695244,0.7832846298392164,27.49522070907766
all_crops,08_01,1 Aug,v13_full,l30,130,-0.02111182895247854,0.9944529191849014,0.7794808263711246,27.588377947870253
all_crops,08_01,1 Aug,v13_full,nofield,130,0.04853823488683129,0.9599381319874937,0.7356966917297362,27.390727320838288
all_crops,08_01,1 Aug,counts,l30,130,-0.05884410888822189,1.012659836648059,0.7979610068985348,28.508215683988663
all_crops,08_01,1 Aug,counts,nofield,130,-0.0667543676200717,1.0164354142501884,0.7850765758329507,27.712904188432354
all_crops,08_01,1 Aug,rates,l30,130,0.02757047470946572,0.97045777011159,0.7681215074705644,27.604691433144783
all_crops,08_01,1 Aug,rates,nofield,130,-0.05625881463021298,1.0114228161805427,0.7769114970739374,27.427963803500738
all_crops,08_01,1 Aug,nutrients,l30,130,-0.0941766255103873,1.02941689040061,0.8032380916275698,28.349327987451446
all_crops,08_01,1 Aug,nutrients,nofield,130,-0.024721900152491205,0.9962092784042559,0.7725872498781242,27.34205792790889
all_crops,08_01,1 Aug,counts_rates,l30,130,-0.01760576561446947,0.9927441871638624,0.7725747957069102,27.022544096582322
all_crops,08_01,1 Aug,counts_rates,nofield,130,-0.013817977788937341,0.990894841275968,0.7445487500955659,26.518963565749964
all_crops,08_01,1 Aug,counts_rates_nutrients,l30,130,-0.07307064341055813,1.0194401411383898,0.8025667920214298,28.461597763675854
all_crops,08_01,1 Aug,counts_rates_nutrients,nofield,130,-0.07902760721053625,1.0222658466916603,0.7964160351751391,28.251758384661734
all_crops,09_01,1 Sep,v12_no_mgmt,l30,130,-0.15010091488437682,1.0553962525912852,0.8389379807105035,29.110680421894997
all_crops,09_01,1 Sep,v12_no_mgmt,nofield,130,-0.032083849331926206,0.9997814264303329,0.7711072089313886,26.860582550296808
all_crops,09_01,1 Sep,v13_full,l30,130,-0.13439796047167007,1.0481665399452293,0.8376122722919862,29.380199721588028
all_crops,09_01,1 Sep,v13_full,nofield,130,-0.10756930273344523,1.0356977398737757,0.8075855199011633,28.16236025890785
all_crops,09_01,1 Sep,counts,l30,130,-0.12017222052189092,1.0415736212059876,0.8313459879498325,28.825373565895497
all_crops,09_01,1 Sep,counts,nofield,130,-0.08802701805061863,1.026519995340341,0.8005981718857887,27.616283366256322
all_crops,09_01,1 Sep,rates,l30,130,-0.14043603278966876,1.0509523815084971,0.8373517298304402,29.1848841178598
all_crops,09_01,1 Sep,rates,nofield,130,-0.09859033239549575,1.031491039844994,0.8010780832694611,28.24847512842404
all_crops,09_01,1 Sep,nutrients,l30,130,-0.15924491745197344,1.059583467759431,0.8483130211700217,29.293567871012062
all_crops,09_01,1 Sep,nutrients,nofield,130,-0.15863254567678609,1.0593035680108898,0.8235930715011339,28.541981217256453
all_crops,09_01,1 Sep,counts_rates,l30,130,-0.1504760126878164,1.0555683438130614,0.8365334389780364,29.500231197445782
all_crops,09_01,1 Sep,counts_rates,nofield,130,-0.14545314760536754,1.053261569502731,0.8435261337885929,29.2413209961128
all_crops,09_01,1 Sep,counts_rates_nutrients,l30,130,-0.19543412631224433,1.0759953589620592,0.8538771100985494,29.386612282853754
all_crops,09_01,1 Sep,counts_rates_nutrients,nofield,130,-0.16162865506428425,1.0606723109519671,0.8290046488010497,28.63127764855407
