scenario,asof_tag,asof_label,variant,model,model_type,n,r2,rmse,mae,mape
all_crops,09_01,1 Sep,strict,crop_mean,naive,26029,0.5900710362228536,0.8361958748627834,0.5727335330074267,25.167193554968463
all_crops,09_01,1 Sep,strict,crop_year_trend,naive,26029,0.5798095997783888,0.846597109739842,0.5767305619262243,25.439915042104346
all_crops,09_01,1 Sep,strict,catboost_fast_l10,ml,26029,0.5649566861385165,0.8614299508868286,0.38357647109742027,16.295537407030206
all_crops,09_01,1 Sep,strict,catboost_fast_l10_residual,ml,26029,0.7825942450691061,0.6089606587638259,0.3577209554203241,15.324117952032124
all_crops,09_01,1 Sep,strict,catboost_shallow_l30,ml,26029,0.5301865517390412,0.8951925113012741,0.4027691672167541,17.2745692245988
all_crops,09_01,1 Sep,strict,catboost_shallow_l30_residual,ml,26029,0.7793010418896519,0.6135555089029734,0.3615979775112171,15.465320414605738
all_crops,09_01,1 Sep,strict,catboost_mae_l20,ml,26029,0.40129640080696394,1.0105542964981569,0.3786148343157795,15.165110640186713
all_crops,09_01,1 Sep,strict,catboost_mae_l20_residual,ml,26029,0.777659271733109,0.6158333871513616,0.35991343564744477,15.179874962518946
sunflower,07_01,1 Jul,plus,global_mean,naive,13416,-0.011679669401946757,0.5497319173843737,0.44616753545327453,22.40440959362707
sunflower,07_01,1 Jul,plus,crop_mean,naive,13416,-0.011679669401946757,0.5497319173843737,0.44616753545327453,22.40440959362707
sunflower,07_01,1 Jul,plus,crop_year_trend,naive,13416,-0.013619949589959601,0.5502588247895149,0.4466298457377405,22.666800010876546
sunflower,07_01,1 Jul,plus,catboost_fast_l10,ml,13416,0.4040831680130186,0.42191237889895816,0.3408233514937982,16.411016187217793
sunflower,07_01,1 Jul,plus,catboost_fast_l10_residual,ml,13416,0.4040831677137614,0.421912379004896,0.34082335152930004,16.411016196867244
sunflower,07_01,1 Jul,plus,catboost_shallow_l30,ml,13416,0.40774512444998523,0.42061403862328073,0.3403037138402794,16.394819529241833
sunflower,07_01,1 Jul,plus,catboost_shallow_l30_residual,ml,13416,0.40752958795546745,0.4206905676925368,0.34036902417073045,16.38995150626386
sunflower,07_01,1 Jul,plus,catboost_mae_l20,ml,13416,0.4025237373468805,0.422464060939878,0.341075074607461,16.30512447000528
sunflower,07_01,1 Jul,plus,catboost_mae_l20_residual,ml,13416,0.4008919425044799,0.42304057306661286,0.34092105727012223,16.298997656644083
sunflower,08_01,1 Aug,plus,global_mean,naive,13416,-0.011679669401946757,0.5497319173843737,0.44616753545327453,22.40440959362707
sunflower,08_01,1 Aug,plus,crop_mean,naive,13416,-0.011679669401946757,0.5497319173843737,0.44616753545327453,22.40440959362707
sunflower,08_01,1 Aug,plus,crop_year_trend,naive,13416,-0.013619949589959601,0.5502588247895149,0.4466298457377405,22.666800010876546
sunflower,08_01,1 Aug,plus,catboost_fast_l10,ml,13416,0.5646084637823615,0.36063629502067646,0.28861473456208925,13.702489129322437
sunflower,08_01,1 Aug,plus,catboost_fast_l10_residual,ml,13416,0.5646084631192123,0.3606362952953208,0.28861473477995886,13.702489147469773
sunflower,08_01,1 Aug,plus,catboost_shallow_l30,ml,13416,0.5675826326622018,0.3594024271498319,0.28767875791818576,13.661397609349969
sunflower,08_01,1 Aug,plus,catboost_shallow_l30_residual,ml,13416,0.5674940540949143,0.35943923617314977,0.287662517735541,13.66011391969035
sunflower,08_01,1 Aug,plus,catboost_mae_l20,ml,13416,0.5624016098406163,0.36154911211653074,0.2880820596259835,13.609643499617224
sunflower,08_01,1 Aug,plus,catboost_mae_l20_residual,ml,13416,0.5618906151835426,0.3617601455274998,0.2883727629202014,13.614641290082103
sunflower,09_01,1 Sep,plus,global_mean,naive,13416,-0.011679669401946757,0.5497319173843737,0.44616753545327453,22.40440959362707
sunflower,09_01,1 Sep,plus,crop_mean,naive,13416,-0.011679669401946757,0.5497319173843737,0.44616753545327453,22.40440959362707
sunflower,09_01,1 Sep,plus,crop_year_trend,naive,13416,-0.013619949589959601,0.5502588247895149,0.4466298457377405,22.666800010876546
sunflower,09_01,1 Sep,plus,catboost_fast_l10,ml,13416,0.5655833150436562,0.36023233246071107,0.2874729853749169,13.70359722394604
sunflower,09_01,1 Sep,plus,catboost_fast_l10_residual,ml,13416,0.5655833147944163,0.36023233256404996,0.28747298542088506,13.703597226771457
sunflower,09_01,1 Sep,plus,catboost_shallow_l30,ml,13416,0.5622298202279974,0.3616200724865648,0.2890377708435581,13.787984562046512
sunflower,09_01,1 Sep,plus,catboost_shallow_l30_residual,ml,13416,0.5620983729070073,0.36167435944382126,0.2890602196887222,13.78916598947029
sunflower,09_01,1 Sep,plus,catboost_mae_l20,ml,13416,0.5579798516588288,0.36337117607122277,0.28954707698859855,13.75013138751669
sunflower,09_01,1 Sep,plus,catboost_mae_l20_residual,ml,13416,0.5594960317386971,0.3627474382207449,0.28925689946381233,13.7389533661436
wheat_combined,07_01,1 Jul,plus,global_mean,naive,7144,-0.03366617249925041,0.9750840467789831,0.7969742292538612,31.490155979403095
wheat_combined,07_01,1 Jul,plus,crop_mean,naive,7144,0.047129243447252,0.9362005641129914,0.7665726292272597,29.338181904077924
wheat_combined,07_01,1 Jul,plus,crop_year_trend,naive,7144,0.02829029660982063,0.9454099503522506,0.7740621911661972,29.632933220821716
wheat_combined,07_01,1 Jul,plus,catboost_fast_l10,ml,7144,0.6497394660205862,0.5676066851326108,0.450525918284506,16.628174716478842
wheat_combined,07_01,1 Jul,plus,catboost_fast_l10_residual,ml,7144,0.6532200343729644,0.5647794663612132,0.4483880391647526,16.508097013965422
wheat_combined,07_01,1 Jul,plus,catboost_shallow_l30,ml,7144,0.6522619116476929,0.5655591463286,0.4485537212682137,16.60654203991189
wheat_combined,07_01,1 Jul,plus,catboost_shallow_l30_residual,ml,7144,0.6542319438306781,0.5639548466235016,0.4483822010913747,16.560934732657444
wheat_combined,07_01,1 Jul,plus,catboost_mae_l20,ml,7144,0.6433921273565151,0.5727266108943933,0.45228636191034854,16.545690247054353
wheat_combined,07_01,1 Jul,plus,catboost_mae_l20_residual,ml,7144,0.6487479168351349,0.5684095335000615,0.4509474611279932,16.5238831768482
wheat_combined,08_01,1 Aug,plus,global_mean,naive,7144,-0.03366617249925041,0.9750840467789831,0.7969742292538612,31.490155979403095
wheat_combined,08_01,1 Aug,plus,crop_mean,naive,7144,0.047129243447252,0.9362005641129914,0.7665726292272597,29.338181904077924
wheat_combined,08_01,1 Aug,plus,crop_year_trend,naive,7144,0.02829029660982063,0.9454099503522506,0.7740621911661972,29.632933220821716
wheat_combined,08_01,1 Aug,plus,catboost_fast_l10,ml,7144,0.689906379697645,0.534070161741284,0.4252053750060765,15.673160335174934
wheat_combined,08_01,1 Aug,plus,catboost_fast_l10_residual,ml,7144,0.6895571077554885,0.5343708503304134,0.42499229846192493,15.59842276615247
wheat_combined,08_01,1 Aug,plus,catboost_shallow_l30,ml,7144,0.6920328673856714,0.5322358006364893,0.4227136949404789,15.635744102789651
wheat_combined,08_01,1 Aug,plus,catboost_shallow_l30_residual,ml,7144,0.6936248299762565,0.5308583853029322,0.42204329776274924,15.47742732815735
wheat_combined,08_01,1 Aug,plus,catboost_mae_l20,ml,7144,0.6862382701966874,0.5372196436495138,0.426940050225713,15.627145861430941
wheat_combined,08_01,1 Aug,plus,catboost_mae_l20_residual,ml,7144,0.6928558784316459,0.5315241516649557,0.4220659351663976,15.338918056812783
