filter,scenario,asof_tag,asof_label,method,n,mape,mae,rmse,r2,cw_mape,cw_mae,cw_rmse,cw_r2,naive_mape,naive_mae,naive_rmse,naive_r2
year_ge_2021,sunflower,08_01,1 Aug,cat_all_with_field,42,23.063169802782976,0.5703104665777946,0.650587199159968,-0.24695351885085182,24.6141210698528,0.5328061971558034,0.6561493173998617,-0.26836602406452736,24.073759800901488,0.6032333464596721,0.6923818597492412,-0.4123118371751051
year_ge_2021,sunflower,08_01,1 Aug,cat_core_d2,42,22.771736535030954,0.5617132648445623,0.637922782581034,-0.198879302661906,24.6141210698528,0.5328061971558034,0.6561493173998617,-0.26836602406452736,24.073759800901488,0.6032333464596721,0.6923818597492412,-0.4123118371751051
year_ge_2021,sunflower,08_01,1 Aug,cat_core_d3,42,23.039248497869526,0.5699202839027493,0.6487895021466609,-0.2400718969167115,24.6141210698528,0.5328061971558034,0.6561493173998617,-0.26836602406452736,24.073759800901488,0.6032333464596721,0.6923818597492412,-0.4123118371751051
year_ge_2021,sunflower,08_01,1 Aug,peer_raw,42,25.315991314907976,0.6514702423347943,0.7418368887021686,-0.6212727674899714,24.6141210698528,0.5328061971558034,0.6561493173998617,-0.26836602406452736,24.073759800901488,0.6032333464596721,0.6923818597492412,-0.4123118371751051
year_ge_2021,sunflower,08_01,1 Aug,residual_crop,42,22.705950566547926,0.5576295278287593,0.6312951672682192,-0.17409750906964905,24.6141210698528,0.5328061971558034,0.6561493173998617,-0.26836602406452736,24.073759800901488,0.6032333464596721,0.6923818597492412,-0.4123118371751051
year_ge_2021,sunflower,08_01,1 Aug,residual_global,42,22.705950566547926,0.5576295278287593,0.6312951672682192,-0.17409750906964905,24.6141210698528,0.5328061971558034,0.6561493173998617,-0.26836602406452736,24.073759800901488,0.6032333464596721,0.6923818597492412,-0.4123118371751051
year_ge_2021,sunflower,08_01,1 Aug,ridge_all_no_field,42,25.315991314907976,0.6514702423347943,0.7418368887021686,-0.6212727674899714,24.6141210698528,0.5328061971558034,0.6561493173998617,-0.26836602406452736,24.073759800901488,0.6032333464596721,0.6923818597492412,-0.4123118371751051
year_ge_2021,sunflower,08_01,1 Aug,ridge_core,42,25.315991314907976,0.6514702423347943,0.7418368887021686,-0.6212727674899714,24.6141210698528,0.5328061971558034,0.6561493173998617,-0.26836602406452736,24.073759800901488,0.6032333464596721,0.6923818597492412,-0.4123118371751051
year_ge_2021,sunflower,09_01,1 Sep,cat_all_no_field,42,24.122431439751388,0.6050762566648555,0.6991499560792619,-0.44005774307779966,20.327134866370265,0.43777231040929127,0.5349517175684126,0.15692073204684942,24.073759800901488,0.6032333464596721,0.6923818597492412,-0.4123118371751051
year_ge_2021,sunflower,09_01,1 Sep,cat_all_with_field,42,24.02202167171832,0.6032109987408121,0.6960245673763337,-0.4272116278718239,20.327134866370265,0.43777231040929127,0.5349517175684126,0.15692073204684942,24.073759800901488,0.6032333464596721,0.6923818597492412,-0.4123118371751051
year_ge_2021,sunflower,09_01,1 Sep,cat_core_d2,42,24.33797635386204,0.6121866252112513,0.7071001357862456,-0.4729943416511304,20.327134866370265,0.43777231040929127,0.5349517175684126,0.15692073204684942,24.073759800901488,0.6032333464596721,0.6923818597492412,-0.4123118371751051
year_ge_2021,sunflower,09_01,1 Sep,cat_core_d3,42,24.222229440971272,0.6111754897779568,0.7044269136800305,-0.46187795904022266,20.327134866370265,0.43777231040929127,0.5349517175684126,0.15692073204684942,24.073759800901488,0.6032333464596721,0.6923818597492412,-0.4123118371751051
year_ge_2021,sunflower,09_01,1 Sep,peer_raw,42,29.97405911081879,0.8175055844992155,0.9335326800347492,-1.5674280927023734,20.327134866370265,0.43777231040929127,0.5349517175684126,0.15692073204684942,24.073759800901488,0.6032333464596721,0.6923818597492412,-0.4123118371751051
year_ge_2021,sunflower,09_01,1 Sep,residual_crop,42,24.306447995015986,0.616014909852018,0.7090225043805142,-0.4810143859319198,20.327134866370265,0.43777231040929127,0.5349517175684126,0.15692073204684942,24.073759800901488,0.6032333464596721,0.6923818597492412,-0.4123118371751051
year_ge_2021,sunflower,09_01,1 Sep,residual_global,42,24.306447995015986,0.616014909852018,0.7090225043805142,-0.4810143859319198,20.327134866370265,0.43777231040929127,0.5349517175684126,0.15692073204684942,24.073759800901488,0.6032333464596721,0.6923818597492412,-0.4123118371751051
year_ge_2021,sunflower,09_01,1 Sep,ridge_all_no_field,42,29.97405911081879,0.8175055844992155,0.9335326800347492,-1.5674280927023734,20.327134866370265,0.43777231040929127,0.5349517175684126,0.15692073204684942,24.073759800901488,0.6032333464596721,0.6923818597492412,-0.4123118371751051
year_ge_2021,sunflower,09_01,1 Sep,ridge_core,42,29.97405911081879,0.8175055844992155,0.9335326800347492,-1.5674280927023734,20.327134866370265,0.43777231040929127,0.5349517175684126,0.15692073204684942,24.073759800901488,0.6032333464596721,0.6923818597492412,-0.4123118371751051
year_ge_2021,wheat_combined,07_01,1 Jul,cat_all_no_field,65,25.63102597139069,0.768766632890198,1.0475572245623692,0.11543759379704188,30.058205989005593,0.6502135171705984,0.8305000831862082,0.4440287607333001,49.427196675565185,1.0121554914604305,1.2312398775659352,-0.22196371835820217
year_ge_2021,wheat_combined,07_01,1 Jul,cat_all_with_field,65,25.710707898975336,0.7652389002484797,1.0411560701394034,0.12621489698541966,30.058205989005593,0.6502135171705984,0.8305000831862082,0.4440287607333001,49.427196675565185,1.0121554914604305,1.2312398775659352,-0.22196371835820217
year_ge_2021,wheat_combined,07_01,1 Jul,cat_core_d2,65,26.040431665890146,0.7681046717586667,1.0665576262257248,0.08305852726578722,30.058205989005593,0.6502135171705984,0.8305000831862082,0.4440287607333001,49.427196675565185,1.0121554914604305,1.2312398775659352,-0.22196371835820217
year_ge_2021,wheat_combined,07_01,1 Jul,cat_core_d3,65,25.346868831370983,0.758111787138433,1.0565300495690126,0.10021930179435135,30.058205989005593,0.6502135171705984,0.8305000831862082,0.4440287607333001,49.427196675565185,1.0121554914604305,1.2312398775659352,-0.22196371835820217
year_ge_2021,wheat_combined,07_01,1 Jul,peer_raw,65,42.101196441585266,0.8905302337320393,1.0315877564333933,0.14220141941041586,30.058205989005593,0.6502135171705984,0.8305000831862082,0.4440287607333001,49.427196675565185,1.0121554914604305,1.2312398775659352,-0.22196371835820217
year_ge_2021,wheat_combined,07_01,1 Jul,residual_crop,65,33.50981251878604,0.9426675804403657,1.1467668966418785,-0.06004245906244221,30.058205989005593,0.6502135171705984,0.8305000831862082,0.4440287607333001,49.427196675565185,1.0121554914604305,1.2312398775659352,-0.22196371835820217
year_ge_2021,wheat_combined,07_01,1 Jul,residual_global,65,27.159740302898555,0.8028200345475829,1.0735819262472515,0.07094088543785804,30.058205989005593,0.6502135171705984,0.8305000831862082,0.4440287607333001,49.427196675565185,1.0121554914604305,1.2312398775659352,-0.22196371835820217
year_ge_2021,wheat_combined,07_01,1 Jul,ridge_all_no_field,65,42.101196441585266,0.8905302337320393,1.0315877564333933,0.14220141941041586,30.058205989005593,0.6502135171705984,0.8305000831862082,0.4440287607333001,49.427196675565185,1.0121554914604305,1.2312398775659352,-0.22196371835820217
year_ge_2021,wheat_combined,07_01,1 Jul,ridge_core,65,42.101196441585266,0.8905302337320393,1.0315877564333933,0.14220141941041586,30.058205989005593,0.6502135171705984,0.8305000831862082,0.4440287607333001,49.427196675565185,1.0121554914604305,1.2312398775659352,-0.22196371835820217
year_ge_2021,wheat_combined,08_01,1 Aug,cat_all_no_field,65,25.46980204256356,0.8024090097320403,1.0530826709735652,0.10608155646820339,31.032443642835826,0.6481870204027878,0.8118661057797882,0.4686975892240012,49.427196675565185,1.0121554914604305,1.2312398775659352,-0.22196371835820217
year_ge_2021,wheat_combined,08_01,1 Aug,cat_all_with_field,65,25.834877202158,0.8111740894393475,1.0601249113040472,0.0940858462004962,31.032443642835826,0.6481870204027878,0.8118661057797882,0.4686975892240012,49.427196675565185,1.0121554914604305,1.2312398775659352,-0.22196371835820217
year_ge_2021,wheat_combined,08_01,1 Aug,cat_core_d2,65,26.02119044726881,0.8117423187859749,1.0614457751584134,0.09182699029770702,31.032443642835826,0.6481870204027878,0.8118661057797882,0.4686975892240012,49.427196675565185,1.0121554914604305,1.2312398775659352,-0.22196371835820217
year_ge_2021,wheat_combined,08_01,1 Aug,cat_core_d3,65,25.1721998378786,0.7980923712187028,1.0532077944430684,0.10586911954372002,31.032443642835826,0.6481870204027878,0.8118661057797882,0.4686975892240012,49.427196675565185,1.0121554914604305,1.2312398775659352,-0.22196371835820217
year_ge_2021,wheat_combined,08_01,1 Aug,peer_raw,65,35.7667619447185,0.7311821538298798,0.8990888878198783,0.3484042763135441,31.032443642835826,0.6481870204027878,0.8118661057797882,0.4686975892240012,49.427196675565185,1.0121554914604305,1.2312398775659352,-0.22196371835820217
year_ge_2021,wheat_combined,08_01,1 Aug,residual_crop,65,31.295116914965522,0.9321336046231898,1.1528114255130424,-0.07124673065228082,31.032443642835826,0.6481870204027878,0.8118661057797882,0.4686975892240012,49.427196675565185,1.0121554914604305,1.2312398775659352,-0.22196371835820217
