field_id,season,operation_type,agro_operation_id,mix_item_applicable_id,mix_item_applicable_name,mix_item_applicable_type,mix_item_fact_rate,mix_item_planned_rate,mix_item_rate_unit,mix_item_unit_id,actual_start_datetime,completed_date
212,2023,application,15102,95,,Seed,229.0,0.0,,19,2023-05-23T11:37:00.000+05:00,2023-05-24
212,2023,application,15102,49,,Seed,0.0,0.0,,19,2023-05-23T11:37:00.000+05:00,2023-05-24
212,2024,application,27300,83,,Seed,0.0,0.30926275992647057,,32,2024-05-06T10:11:00.000+05:00,2024-05-07
212,2024,application,27300,109,,Seed,0.0,0.019281663529411765,,32,2024-05-06T10:11:00.000+05:00,2024-05-07
212,2024,application,27300,161,,Seed,0.0,0.03780718338235294,,34,2024-05-06T10:11:00.000+05:00,2024-05-07
212,2024,application,27300,162,,Seed,0.0,0.026843100220588237,,34,2024-05-06T10:11:00.000+05:00,2024-05-07
212,2025,application,33141,200,,Seed,205.0,205.0,,19,2025-05-22T03:19:00.000+05:00,2025-05-22
213,2021,application,5487,29,,Seed,0.0,213.0,,19,2021-05-12T08:33:00.000+05:00,2021-05-12
213,2021,application,5487,37,,Seed,227.94117647058823,213.0,,19,2021-05-12T08:33:00.000+05:00,2021-05-12
213,2021,application,5487,30,,Seed,0.0,0.0,,19,2021-05-12T08:33:00.000+05:00,2021-05-12
213,2021,application,5487,39,,Seed,0.0,0.0,,34,2021-05-12T08:33:00.000+05:00,2021-05-12
213,2022,application,8387,34,,Seed,0.0,0.0,,34,2022-05-10T17:30:00.000+05:00,2022-05-10
213,2022,application,8387,39,,Seed,0.0,0.0,,34,2022-05-10T17:30:00.000+05:00,2022-05-10
213,2022,application,8387,47,,Seed,0.0,0.0,,34,2022-05-10T17:30:00.000+05:00,2022-05-10
213,2022,application,8387,46,,Seed,0.0,0.0,,34,2022-05-10T17:30:00.000+05:00,2022-05-10
213,2022,application,8387,28,,Seed,0.0,0.0,,34,2022-05-10T17:30:00.000+05:00,2022-05-10
213,2022,application,8387,33,,Seed,0.0,0.0,,34,2022-05-10T17:30:00.000+05:00,2022-05-10
213,2022,application,8387,52,,Seed,0.0,0.0,,34,2022-05-10T17:30:00.000+05:00,2022-05-10
213,2023,application,11757,93,,Seed,224.0,0.0,,19,2023-05-19T19:26:00.000+05:00,2023-05-19
213,2023,application,11757,36,,Seed,0.0,0.0,,19,2023-05-19T19:26:00.000+05:00,2023-05-19
213,2023,application,11757,94,,Seed,0.0,0.0,,19,2023-05-19T19:26:00.000+05:00,2023-05-19
213,2023,application,11757,95,,Seed,0.0,0.0,,19,2023-05-19T19:26:00.000+05:00,2023-05-19
213,2023,application,11757,62,,Seed,0.0,0.0,,19,2023-05-19T19:26:00.000+05:00,2023-05-19
213,2023,application,11757,49,,Seed,0.0,0.0,,19,2023-05-19T19:26:00.000+05:00,2023-05-19
213,2025,application,33012,134,,Seed,0.0,200.0,,19,2025-05-25T10:53:00.000+05:00,2025-05-29
213,2026,application,33930,48,,Seed,0.0,30.0,,19,2025-06-07T03:36:00.000+05:00,2025-06-07
214,2021,application,4285,29,,Seed,0.0,213.0,,19,2021-05-12T12:32:00.000+05:00,2021-05-12
214,2021,application,4285,37,,Seed,227.91666666666666,213.0,,19,2021-05-12T12:32:00.000+05:00,2021-05-12
214,2021,application,4285,30,,Seed,0.0,0.0,,19,2021-05-12T12:32:00.000+05:00,2021-05-12
214,2021,application,4285,39,,Seed,0.0,0.0,,34,2021-05-12T12:32:00.000+05:00,2021-05-12
214,2022,application,8388,34,,Seed,0.0,0.0,,34,2022-05-10T14:14:00.000+05:00,2022-05-10
214,2022,application,8388,39,,Seed,0.0,0.0,,34,2022-05-10T14:14:00.000+05:00,2022-05-10
214,2022,application,8388,47,,Seed,0.0,0.0,,34,2022-05-10T14:14:00.000+05:00,2022-05-10
214,2022,application,8388,46,,Seed,0.0,0.0,,34,2022-05-10T14:14:00.000+05:00,2022-05-10
214,2022,application,8388,28,,Seed,0.0,0.0,,34,2022-05-10T14:14:00.000+05:00,2022-05-10
214,2022,application,8388,33,,Seed,0.0,0.0,,34,2022-05-10T14:14:00.000+05:00,2022-05-10
214,2022,application,8388,52,,Seed,0.0,0.0,,34,2022-05-10T14:14:00.000+05:00,2022-05-10
214,2023,application,11758,93,,Seed,224.0,0.0,,19,2023-05-19T14:28:00.000+05:00,2023-05-19
214,2023,application,11758,36,,Seed,0.0,0.0,,19,2023-05-19T14:28:00.000+05:00,2023-05-19
214,2023,application,11758,94,,Seed,0.0,0.0,,19,2023-05-19T14:28:00.000+05:00,2023-05-19
214,2023,application,11758,95,,Seed,0.0,0.0,,19,2023-05-19T14:28:00.000+05:00,2023-05-19
214,2023,application,11758,62,,Seed,0.0,0.0,,19,2023-05-19T14:28:00.000+05:00,2023-05-19
214,2023,application,11758,49,,Seed,0.0,0.0,,19,2023-05-19T14:28:00.000+05:00,2023-05-19
214,2025,application,33013,134,,Seed,0.0,200.0,,19,2025-05-23T18:28:00.000+05:00,2025-05-25
214,2026,application,33931,48,,Seed,0.0,30.0,,19,2025-06-05T10:41:00.000+05:00,2025-06-07
215,2021,application,4268,39,,Seed,0.42,0.42310000000000003,,34,2021-05-04T00:55:00.000+05:00,2021-05-04
215,2021,application,4268,28,,Seed,0.0,0.42310000000000003,,34,2021-05-04T00:55:00.000+05:00,2021-05-04
