field_id,year,crop_id,target_yield_t_ha,dataset_tag,subset_tag,model_pred_oof_t_ha,model_pred_train_t_ha
210,2018,21.0,17.359,phases,allcrops,18.416135553591147,16.37217427592161
210,2019,40.0,24.037,phases,allcrops,27.52697660890218,24.42082743030195
210,2020,44.0,21.218,phases,allcrops,18.302484637309632,20.064774134448744
210,2021,40.0,29.186,phases,allcrops,27.774217322329676,29.062721122146517
210,2022,43.0,34.1,phases,allcrops,28.284196224308015,33.66065594264688
210,2023,24.0,16.518,phases,allcrops,21.482137775858007,16.955212519738215
210,2024,44.0,57.541,phases,allcrops,29.897870483118567,52.20482436758742
210,2025,40.0,26.162,phases,allcrops,29.102339701884866,28.037037661478486
211,2017,44.0,18.834,phases,allcrops,22.66173034114025,20.32038484277175
211,2019,40.0,23.18,phases,allcrops,25.1776964117474,23.327748961134514
211,2020,44.0,24.044,phases,allcrops,18.555223894147453,21.44055075880668
211,2021,40.0,29.907,phases,allcrops,27.978658780971216,29.466129516972657
211,2022,43.0,34.704,phases,allcrops,26.953825997068062,32.40692920560357
212,2010,40.0,25.729,phases,allcrops,19.8051943224338,22.693060165588943
212,2011,40.0,21.887,phases,allcrops,25.738949705947732,24.042415963840437
212,2012,40.0,24.481,phases,allcrops,25.148087724584965,22.245353650314087
212,2013,40.0,21.99,phases,allcrops,21.338697697662646,20.89453556100808
212,2014,40.0,24.5,phases,allcrops,25.11148670471185,25.56683160010785
212,2015,40.0,16.854,phases,allcrops,22.189058932004492,18.287828731892407
212,2016,40.0,27.669,phases,allcrops,19.616327841642946,23.85596680944081
212,2017,40.0,16.862,phases,allcrops,19.00157033107257,17.979140327266542
212,2018,40.0,13.272,phases,allcrops,18.741146637734726,13.967079396990417
212,2019,40.0,24.78,phases,allcrops,25.598733933741322,23.308787935426082
212,2020,43.0,13.132,phases,allcrops,16.767146598575646,13.764730843269689
212,2021,40.0,32.197,phases,allcrops,27.634500946895066,30.840031417752485
212,2022,43.0,30.777,phases,allcrops,28.3202057160433,31.515145782807316
212,2023,43.0,16.78,phases,allcrops,16.557253180558327,16.410759946486024
212,2024,40.0,31.718,phases,allcrops,29.25057797184993,31.584086528417753
212,2025,43.0,28.967,phases,allcrops,28.61068544495685,28.649180889390923
213,2010,40.0,21.619,phases,allcrops,20.037386227473416,21.296673702718746
213,2011,40.0,19.84,phases,allcrops,24.691856802516906,20.185990512570083
213,2012,40.0,16.418,phases,allcrops,21.18423579790655,19.139597951523946
213,2013,40.0,20.484,phases,allcrops,25.323411652931824,20.731086597521063
213,2014,40.0,24.244,phases,allcrops,24.669080057952424,25.17090239565601
213,2015,40.0,21.305,phases,allcrops,23.023965290731756,22.087505571201962
213,2016,40.0,24.174,phases,allcrops,18.192496336487654,22.899314376355346
213,2017,40.0,24.459,phases,allcrops,18.892109143226733,21.57294276214549
213,2018,40.0,26.765,phases,allcrops,23.402728457218803,25.307825549513158
213,2019,20.0,19.759,phases,allcrops,18.67821077720359,17.068316889343684
213,2020,43.0,15.964,phases,allcrops,18.578678905591655,15.60581865046077
213,2021,43.0,33.956,phases,allcrops,29.360511630699364,31.084477959917788
213,2022,40.0,23.059,phases,allcrops,26.23709320596095,24.78772406154173
213,2023,43.0,16.769,phases,allcrops,18.0486603614039,17.556941245340223
213,2025,3.0,30.796,phases,allcrops,35.90435768848569,33.28800736248174
214,2010,40.0,19.55,phases,allcrops,20.38785681099729,21.42119536881372
214,2011,40.0,20.53,phases,allcrops,23.659225512824143,20.594953879976565
214,2012,40.0,16.657,phases,allcrops,20.721816187230047,18.056299915336343
214,2013,40.0,20.64,phases,allcrops,24.862374282868252,20.310280575788887
214,2014,40.0,26.513,phases,allcrops,23.648499606627865,24.97058421288836
214,2015,40.0,22.145,phases,allcrops,22.698155186071137,21.922914635564503
214,2016,40.0,23.114,phases,allcrops,17.313556969413764,22.833825290174985
214,2017,40.0,24.927,phases,allcrops,19.66168625274218,22.545121559600773
214,2018,40.0,26.65,phases,allcrops,23.35781504047244,24.569849879144783
214,2019,40.0,21.573,phases,allcrops,26.27132284559536,23.183078271785913
214,2020,43.0,15.097,phases,allcrops,17.828971141919602,14.534459656554906
214,2021,43.0,28.408,phases,allcrops,29.108360702835473,29.803630182711483
214,2022,40.0,23.271,phases,allcrops,25.641731601642054,24.486865308059205
214,2023,43.0,16.104,phases,allcrops,16.18515769909665,16.250384958729008
214,2025,3.0,30.119,phases,allcrops,34.44586625223175,31.452532215307002
215,2010,40.0,25.285,phases,allcrops,18.694795042845815,22.548617824290606
215,2011,40.0,22.013,phases,allcrops,24.804479244916113,23.212302694370308
215,2012,40.0,19.233,phases,allcrops,20.09280744591613,18.779575347342842
215,2013,40.0,11.653,phases,allcrops,17.102802685415664,12.867678963982378
215,2014,40.0,26.138,phases,allcrops,25.85961971948695,25.563027155296776
215,2015,40.0,14.253,phases,allcrops,13.61400791924844,13.14620486764413
215,2016,40.0,19.726,phases,allcrops,23.009374263342128,23.639798456021285
215,2017,20.0,15.818,phases,allcrops,19.928460532861866,15.670031458953886
215,2018,40.0,23.53,phases,allcrops,23.209460620383627,23.399554727222828
215,2019,40.0,21.773,phases,allcrops,26.867760265989062,23.066710874904736
215,2020,43.0,15.953,phases,allcrops,24.220168679071804,18.25151657147574
215,2021,40.0,26.547,phases,allcrops,22.317150552426487,24.86852847283427
215,2022,43.0,27.345,phases,allcrops,26.018638453635646,28.518667963702573
215,2023,3.0,24.396,phases,allcrops,23.893797267676216,23.966150300680287
215,2024,44.0,42.056,phases,allcrops,32.1909601196738,42.6408441636835
215,2025,40.0,25.924,phases,allcrops,26.061407392530278,26.452949027209804
216,2010,40.0,28.838,phases,allcrops,24.72114308011418,27.373660877354297
216,2011,40.0,24.407,phases,allcrops,25.718879787650025,24.828990418898815
216,2012,40.0,24.394,phases,allcrops,24.720122590460708,24.199222815299418
216,2013,40.0,24.091,phases,allcrops,27.86337401628911,25.542175883846383
216,2014,40.0,29.909,phases,allcrops,24.23596686929736,27.626799327690765
216,2015,40.0,27.174,phases,allcrops,24.518983719374642,25.3400129307674
216,2016,40.0,26.756,phases,allcrops,24.51707827280345,28.152883212604685
216,2017,20.0,16.878,phases,allcrops,26.91062322554777,17.051080054695376
216,2018,40.0,21.175,phases,allcrops,26.470439082659873,22.67153017307616
216,2019,40.0,21.598,phases,allcrops,26.054137307095832,22.09044221240616
216,2020,43.0,21.373,phases,allcrops,25.055863751022585,21.090087236425557
216,2021,40.0,26.041,phases,allcrops,26.102359843435035,27.140767623472776
216,2022,43.0,39.809,phases,allcrops,35.189837644982155,39.227364518566255
216,2023,3.0,25.551,phases,allcrops,30.42125330038214,27.29321569312097
216,2024,44.0,53.586,phases,allcrops,35.865880664694814,51.38411871053879
216,2025,40.0,28.421,phases,allcrops,30.114357136693744,28.777552863194828
217,2010,40.0,20.382,phases,allcrops,20.732965220978276,21.144509339131048
217,2011,40.0,24.75,phases,allcrops,22.311597933713404,22.905578922361432
217,2012,40.0,16.152,phases,allcrops,19.497311475250175,16.252003788578772
217,2013,40.0,22.975,phases,allcrops,22.333592593453712,20.969258102794466
217,2014,40.0,30.689,phases,allcrops,29.42087657071499,30.11734659787175
217,2015,40.0,12.51,phases,allcrops,15.144719665219275,13.091624865965542
217,2016,40.0,22.364,phases,allcrops,23.331910985535373,23.730350307354403
217,2017,20.0,9.526,phases,allcrops,21.994668887435704,13.722269849454156
217,2018,40.0,11.881,phases,allcrops,18.48149530960024,13.177402020372924
217,2019,40.0,21.411,phases,allcrops,25.282493081473547,21.56410561177402
217,2020,43.0,19.61,phases,allcrops,16.379183944456425,15.90130621712228
217,2021,40.0,31.133,phases,allcrops,27.984550418888837,30.592576446879416
217,2022,43.0,34.127,phases,allcrops,27.692551022878742,32.93163179707112
217,2023,3.0,16.278,phases,allcrops,24.825264891387715,17.17049234071372
217,2024,40.0,33.542,phases,allcrops,30.684764725771412,32.84648327536943
217,2025,43.0,27.186,phases,allcrops,29.477841974481503,28.85195052068405
218,2010,40.0,24.997,phases,allcrops,19.70357029738982,23.475747389419737
218,2011,40.0,16.986,phases,allcrops,17.92451044305971,17.625010749192953
218,2012,40.0,18.592,phases,allcrops,19.65254077129203,18.47220436153486
218,2013,40.0,13.76,phases,allcrops,17.52311595051965,14.066415931569855
218,2014,40.0,21.887,phases,allcrops,19.233311249007823,19.98079890502047
218,2015,40.0,18.712,phases,allcrops,18.595485508473708,18.442338255506225
218,2016,40.0,14.839,phases,allcrops,16.173971092643537,17.048567739764565
218,2017,40.0,12.974,phases,allcrops,18.90123392305408,16.256284255787158
218,2018,40.0,16.403,phases,allcrops,17.594032802875752,15.716762350629601
218,2019,40.0,17.299,phases,allcrops,23.46081256296475,20.56845589285892
218,2020,43.0,17.929,phases,allcrops,16.393465490450627,15.428920890845585
218,2021,40.0,25.34,phases,allcrops,22.265963893629383,24.21274047622408
218,2022,43.0,25.543,phases,allcrops,23.025559650910076,26.10285803458603
218,2023,3.0,23.995,phases,allcrops,27.65383377495752,24.0832110904887
218,2024,43.0,34.0,phases,allcrops,31.97757885675281,36.229406041605905
218,2025,43.0,26.461,phases,allcrops,29.36008214100575,29.232220277744606
219,2010,40.0,24.063,phases,allcrops,21.49860156758922,23.58995498558675
219,2011,40.0,20.567,phases,allcrops,24.621495499936675,21.919409684803096
219,2012,40.0,18.639,phases,allcrops,21.558684768088316,19.68829502069264
219,2013,40.0,17.676,phases,allcrops,22.44842800139799,19.751420362552917
219,2014,40.0,23.038,phases,allcrops,26.09230053111814,24.898881840687114
219,2015,40.0,25.288,phases,allcrops,25.06967166692622,24.530526916778527
219,2016,40.0,22.132,phases,allcrops,18.145958202784012,23.14440028728282
219,2017,44.0,30.346,phases,allcrops,32.04319444657002,31.402962475211826
219,2018,40.0,18.597,phases,allcrops,20.796515634368905,19.218229618945195
219,2019,40.0,21.936,phases,allcrops,25.321784800392237,22.948461634973178
219,2020,43.0,11.434,phases,allcrops,16.156675143580305,13.163988702213873
219,2021,40.0,32.401,phases,allcrops,28.07885583987671,31.557292411746193
219,2022,43.0,34.281,phases,allcrops,27.500998994969603,32.88806679062972
219,2023,40.0,26.039,phases,allcrops,22.558283610346304,23.066891747452075
219,2024,43.0,33.588,phases,allcrops,34.13672115362475,33.85494221981452
219,2025,3.0,38.607,phases,allcrops,34.55262301285615,37.73638546654987
220,2010,40.0,19.949,phases,allcrops,19.927759823201608,21.323864461040493
220,2011,40.0,24.819,phases,allcrops,20.826222661764128,22.395241456485884
220,2012,40.0,17.906,phases,allcrops,21.237926789094296,18.260183627526153
220,2013,40.0,18.199,phases,allcrops,19.44122442576883,18.687385244559945
220,2014,40.0,20.431,phases,allcrops,22.465438183324874,21.493430867685458
220,2015,40.0,23.007,phases,allcrops,23.540480372212443,21.724621717552434
220,2016,40.0,27.921,phases,allcrops,20.215557941388614,26.647400606450915
220,2017,20.0,20.171,phases,allcrops,16.486104613373648,17.799041391767304
220,2018,40.0,19.641,phases,allcrops,21.130805806884556,19.125868479255935
220,2019,40.0,22.518,phases,allcrops,24.61295069947682,22.998000361607293
220,2020,43.0,17.675,phases,allcrops,25.93812315404107,21.14811141000409
220,2021,40.0,25.487,phases,allcrops,27.50824216475355,28.153207222943077
220,2022,43.0,32.34,phases,allcrops,28.332239335713624,32.444812820266996
220,2023,3.0,25.408,phases,allcrops,30.095359975503424,25.198114131116572
220,2024,43.0,39.769,phases,allcrops,33.848895741020314,39.2608922906463
220,2025,43.0,36.214,phases,allcrops,30.969479357538205,34.28405511258613
221,2017,20.0,12.331,phases,allcrops,25.671741947098273,14.315302554380152
221,2019,40.0,28.217,phases,allcrops,25.2587792256106,24.266363638613335
221,2020,43.0,28.632,phases,allcrops,26.77214753507355,29.921895305653283
221,2021,40.0,27.167,phases,allcrops,26.930763531732,27.346049947735036
221,2022,43.0,41.328,phases,allcrops,37.164906028453046,41.28632335217093
222,2010,40.0,24.025,phases,allcrops,20.20203224847873,22.27818751665286
222,2011,40.0,22.814,phases,allcrops,24.876176591233953,23.662628310225823
222,2012,40.0,13.562,phases,allcrops,19.176095205203424,15.370967093503083
222,2013,40.0,11.753,phases,allcrops,14.04577521812638,11.259931698794258
222,2014,40.0,23.248,phases,allcrops,26.76655452580152,23.928914870767308
222,2015,40.0,19.893,phases,allcrops,17.41093880044462,18.901432322131214
222,2016,40.0,16.724,phases,allcrops,21.04057997882136,18.05801029777198
222,2017,20.0,14.756,phases,allcrops,23.46782607187367,14.81134930380023
222,2018,40.0,20.337,phases,allcrops,18.580833202008137,18.13744982712451
222,2019,40.0,25.605,phases,allcrops,23.00724318622237,22.211720714329523
222,2020,43.0,9.872,phases,allcrops,16.938846686060323,12.816222446263577
222,2021,40.0,27.129,phases,allcrops,27.01738823184856,28.112668447121138
222,2022,43.0,34.904,phases,allcrops,28.590476954390855,33.526749899601874
222,2023,3.0,20.631,phases,allcrops,24.523772582259543,20.026238027533147
222,2024,43.0,42.83,phases,allcrops,32.46652075932628,41.72163552495698
222,2025,40.0,29.642,phases,allcrops,27.143175006157595,27.897419630455154
223,2010,40.0,28.213,phases,allcrops,22.38817834375172,25.47334400701673
223,2011,40.0,29.624,phases,allcrops,22.467936345785255,24.764219704313227
223,2012,40.0,13.923,phases,allcrops,21.74845110707269,17.417612203469684
223,2013,40.0,14.59,phases,allcrops,15.43405428463124,13.829457446796843
