field_id,year,y_true,y_model_oof,field_name_fields,y_cropwise_pred,field_name_cropwise
218,2013,13.76,17.693416275374183,палатьи,,
218,2014,21.887,18.66654873370621,палатьи,,
218,2015,18.712,19.71422720521867,палатьи,,
218,2016,14.839,15.91056222315606,палатьи,,
218,2017,12.974,19.264302013431383,палатьи,,
218,2018,16.403,16.49488761850212,палатьи,16.403,палатьи
218,2019,17.299,22.445755510430367,палатьи,17.299,палатьи
218,2020,17.929,14.279856423752689,палатьи,17.929,палатьи
218,2021,25.34,22.655460831687964,палатьи,25.34,палатьи
218,2022,25.543,22.185336389510372,палатьи,25.543,палатьи
218,2023,23.995,29.07827116545414,палатьи,23.995,палатьи
218,2024,34.0,30.29848572222528,палатьи,34.0,палатьи
218,2025,26.461,28.430513891332154,палатьи,26.461,палатьи
219,2010,24.063,21.48704919440288,подхозный увал 1,,
219,2011,20.567,24.244336732312103,подхозный увал 1,,
219,2012,18.639,22.039607551015383,подхозный увал 1,,
219,2013,17.676,23.151850822164253,подхозный увал 1,,
219,2014,23.038,27.441921717070315,подхозный увал 1,,
219,2015,25.288,25.36901790656636,подхозный увал 1,,
219,2016,22.132,18.20353537470878,подхозный увал 1,,
219,2017,30.346,35.008920782147015,подхозный увал 1,,
219,2018,18.597,21.586516675518507,подхозный увал 1,18.597,подхозный увал 1
219,2019,21.936,25.78022605929912,подхозный увал 1,21.936,подхозный увал 1
219,2020,11.434,15.47128316784978,подхозный увал 1,11.434,подхозный увал 1
219,2021,32.401,28.463397929722426,подхозный увал 1,32.401,подхозный увал 1
219,2022,34.281,27.672379030061904,подхозный увал 1,34.281,подхозный увал 1
219,2023,26.039,21.5671553274038,подхозный увал 1,26.039,подхозный увал 1
219,2024,33.588,33.78169178248223,подхозный увал 1,33.588,подхозный увал 1
219,2025,38.607,33.32406501422429,подхозный увал 1,38.607,подхозный увал 1
220,2010,19.949,20.226672633442472,сапог,,
220,2011,24.819,21.411475938310545,сапог,,
220,2012,17.906,20.446767942416635,сапог,,
220,2013,18.199,20.87050405641232,сапог,,
220,2014,20.431,22.926864621895906,сапог,,
220,2015,23.007,23.59763773231799,сапог,,
220,2016,27.921,18.8093687265956,сапог,,
220,2017,20.171,18.52575724616421,сапог,,
220,2018,19.641,21.32091949685661,сапог,19.641,сапог
220,2019,22.518,24.724839356884303,сапог,22.518,сапог
220,2020,17.675,25.288688451978512,сапог,17.675,сапог
220,2021,25.487,27.30549597472836,сапог,25.487,сапог
220,2022,32.34,29.976992495481426,сапог,32.34,сапог
220,2023,25.408,30.775503156916,сапог,25.408,сапог
220,2024,39.769,30.917844031536752,сапог,39.769,сапог
220,2025,36.214,29.000106165791905,сапог,36.214,сапог
221,2017,12.331,27.723898023252715,сметанина пасека (низ огород) 05-080-025-120,,
221,2019,28.217,27.34964010407636,сметанина пасека (низ огород) 05-080-025-120,28.217,сметанина пасека (низ огород) 05-080-025-120
221,2020,28.632,26.76340324445984,сметанина пасека (низ огород) 05-080-025-120,28.632,сметанина пасека (низ огород) 05-080-025-120
221,2021,27.167,28.83159655091866,сметанина пасека (низ огород) 05-080-025-120,27.167,сметанина пасека (низ огород) 05-080-025-120
221,2022,41.328,34.15269633480546,сметанина пасека (низ огород) 05-080-025-120,41.328,сметанина пасека (низ огород) 05-080-025-120
222,2010,24.025,19.48640125317618,соколки 1,,
222,2011,22.814,24.97951459737953,соколки 1,,
222,2012,13.562,19.266600614628288,соколки 1,,
222,2013,11.753,16.182644965745244,соколки 1,,
222,2014,23.248,27.421669501190653,соколки 1,,
222,2015,19.893,17.174774425270538,соколки 1,,
222,2016,16.724,22.197826451905804,соколки 1,,
222,2017,14.756,23.74657705343904,соколки 1,,
222,2018,20.337,17.45140242803613,соколки 1,20.337,соколки 1
222,2019,25.605,22.88031808327815,соколки 1,25.605,соколки 1
222,2020,9.872,15.729971915088544,соколки 1,9.872,соколки 1
222,2021,27.129,28.189747500515114,соколки 1,27.129,соколки 1
222,2022,34.904,30.411832560088705,соколки 1,34.904,соколки 1
222,2023,20.631,25.101329218128253,соколки 1,20.631,соколки 1
222,2024,42.83,31.64339205774401,соколки 1,42.83,соколки 1
222,2025,29.642,24.388234763597747,соколки 1,29.642,соколки 1
223,2010,28.213,22.143328547385156,соколки 2,,
223,2011,29.624,23.043113027874323,соколки 2,,
223,2012,13.923,21.593235952304852,соколки 2,,
223,2013,14.59,16.83473074475257,соколки 2,,
223,2014,24.033,27.855647817379573,соколки 2,,
223,2015,14.01,17.68595202853715,соколки 2,,
223,2016,21.369,21.780310171846203,соколки 2,,
223,2017,15.957,24.39605443269636,соколки 2,,
223,2018,15.562,15.218027269142674,соколки 2,15.562,соколки 2
223,2019,24.601,24.789730489545416,соколки 2,24.601,соколки 2
223,2020,11.26,16.566914452123857,соколки 2,11.26,соколки 2
223,2021,26.7,28.060747757769303,соколки 2,26.7,соколки 2
223,2022,28.408,27.77062304192544,соколки 2,28.408,соколки 2
223,2023,19.374,25.16150982640959,соколки 2,19.374,соколки 2
223,2024,42.385,32.298483601531466,соколки 2,42.385,соколки 2
223,2025,27.165,26.569156405355844,соколки 2,27.165,соколки 2
224,2010,27.485,24.677541074810502,холодный ключ,,
224,2011,22.157,25.03914565746573,холодный ключ,,
224,2012,28.529,21.60307750398684,холодный ключ,,
224,2013,24.626,25.951983930245547,холодный ключ,,
224,2014,26.593,24.37829232414717,холодный ключ,,
224,2015,19.421,22.72553887764212,холодный ключ,,
224,2016,27.308,25.237983146757216,холодный ключ,,
224,2017,18.488,22.971463786066156,холодный ключ,,
224,2018,21.925,22.148107588325267,холодный ключ,21.925,холодный ключ
224,2019,23.3,27.367204564098188,холодный ключ,23.3,холодный ключ
