field_id,year,crop_id,target_yield_t_ha,model_pred_oof_t_ha,model_pred_train_t_ha
217,2012,40.0,16.152,19.215601350681926,16.292520847125747
217,2013,40.0,22.975,21.401092661816218,20.510120948218894
217,2014,40.0,30.689,26.32219629494157,29.779635250411857
217,2015,40.0,12.51,16.22481623511006,13.09136991826739
217,2016,40.0,22.364,22.5576177320876,23.913572973795485
217,2017,20.0,9.526,21.67749497895896,12.982936346425655
217,2018,40.0,11.881,17.63457549437033,13.22500967079203
217,2019,40.0,21.411,24.66177406723893,21.725126676779038
217,2020,43.0,19.61,15.726879280321116,15.98685252662673
217,2021,40.0,31.133,27.170618464295718,30.440459523200783
217,2022,43.0,34.127,28.228863109186317,33.378345922171405
217,2023,3.0,16.278,24.34595504350352,17.186517850058536
217,2024,40.0,33.542,29.735019069185523,32.86876583266567
217,2025,43.0,27.186,29.786436063663828,29.334871862781455
218,2010,40.0,24.997,19.329020636028055,23.323913480171278
218,2011,40.0,16.986,17.710797280485508,17.263104714016904
218,2012,40.0,18.592,19.768393854072478,18.4240662489261
218,2013,40.0,13.76,17.693416275374183,13.218559690829771
218,2014,40.0,21.887,18.66654873370621,20.35316708817393
218,2015,40.0,18.712,19.71422720521867,18.489834323659778
218,2016,40.0,14.839,15.91056222315606,17.463740947368102
218,2017,40.0,12.974,19.264302013431386,16.146824720069894
218,2018,40.0,16.403,16.49488761850212,16.00927324242073
218,2019,40.0,17.299,22.445755510430367,19.932597208638605
218,2020,43.0,17.929,14.279856423752689,13.99058974040328
218,2021,40.0,25.34,22.655460831687964,24.140990489363222
218,2022,43.0,25.543,22.185336389510375,26.46365298695098
218,2023,3.0,23.995,29.07827116545414,24.734408657113054
218,2024,43.0,34.0,30.29848572222528,35.49840387205605
218,2025,43.0,26.461,28.430513891332154,28.407483796628973
219,2010,40.0,24.063,21.487049194402882,23.426019913265065
219,2011,40.0,20.567,24.244336732312103,21.391568118195046
219,2012,40.0,18.639,22.039607551015386,19.57728168003747
219,2013,40.0,17.676,23.151850822164253,19.919410474411404
219,2014,40.0,23.038,27.441921717070315,25.529574038828173
219,2015,40.0,25.288,25.369017906566356,24.293681453107293
219,2016,40.0,22.132,18.20353537470878,21.16217211918474
219,2017,44.0,30.346,35.008920782147015,31.409805222379024
219,2018,40.0,18.597,21.586516675518507,19.941773125325923
219,2019,40.0,21.936,25.78022605929912,23.31846895849469
219,2020,43.0,11.434,15.47128316784978,12.996129005892884
219,2021,40.0,32.401,28.463397929722422,30.79285401655119
219,2022,43.0,34.281,27.672379030061904,32.01614930108047
219,2023,40.0,26.039,21.5671553274038,22.257846707819702
219,2024,43.0,33.588,33.78169178248223,33.77589236443081
