field_id,year,y_true,cropwise_pred_asof_0701,cropwise_pred_asof_0801,cropwise_pred_asof_0901,cropwise_pred_final
230,2019,39.929,37.936,39.929,39.929,39.929
230,2020,12.317,12.972,12.317,12.317,12.317
230,2021,31.34,24.353,31.34,31.34,31.34
230,2022,31.92,18.525,24.592,27.875,31.92
230,2023,15.378,14.66,21.049,20.961,15.378
230,2024,31.278,27.013,31.405,30.899,31.278
230,2025,29.788,32.042,29.788,29.788,29.788
231,2010,27.244,25.513,20.591,18.291,27.244
231,2011,16.755,25.181,17.6,16.81,16.755
231,2012,17.558,26.424,22.905,17.216,17.558
231,2013,22.302,18.975,24.97,32.779,22.302
231,2014,26.751,26.046,25.959,28.739,26.751
231,2015,19.308,23.057,19.878,21.631,19.308
231,2016,33.901,25.78,30.971,34.702,33.901
231,2017,22.209,23.644,22.209,22.209,22.209
231,2018,9.584,16.974,16.007,13.02,9.584
231,2019,42.558,39.967,42.558,42.558,42.558
231,2020,16.897,20.039,16.897,16.897,16.897
231,2021,34.016,31.704,34.016,34.016,34.016
231,2022,22.88,21.225,22.88,22.88,22.88
231,2023,22.106,15.364,17.592,22.117,22.106
231,2024,36.423,38.621,43.306,36.36,36.423
231,2025,24.7,26.262,25.528,24.9,24.7
232,2010,20.457,21.307,22.87,21.726,20.457
232,2011,17.736,23.498,17.906,18.203,17.736
232,2012,23.602,32.91,31.881,21.698,23.602
232,2013,23.915,26.923,30.481,21.51,23.915
232,2014,24.254,26.052,28.641,23.182,24.254
232,2015,13.354,28.848,18.898,14.765,13.354
232,2016,22.876,25.18,26.576,24.058,22.876
232,2017,27.603,28.916,27.603,27.603,27.603
232,2018,12.02,18.109,12.671,11.918,12.02
232,2019,41.161,36.744,41.161,41.161,41.161
232,2020,18.421,19.402,18.421,18.421,18.421
232,2021,29.818,33.894,29.818,29.818,29.818
232,2022,18.508,22.283,18.508,18.508,18.508
232,2023,23.085,18.707,20.155,23.653,23.085
232,2024,41.416,38.087,45.228,38.371,41.416
232,2025,24.7,24.81,24.2,24.7,24.7
233,2010,29.024,22.584,28.725,25.347,29.024
233,2011,21.271,24.954,25.182,20.831,21.271
233,2012,19.567,25.513,23.485,18.978,19.567
233,2013,15.523,16.949,23.955,15.779,15.523
233,2014,24.834,26.403,25.37,25.182,24.834
233,2015,22.576,22.152,22.015,22.306,22.576
233,2016,22.677,23.313,24.031,25.436,22.677
233,2017,20.928,18.445,18.953,18.957,20.928
233,2018,19.316,21.461,16.96,20.964,19.316
233,2019,25.64,26.827,23.462,23.735,25.64
233,2020,17.5,17.529,17.5,17.5,17.5
233,2021,34.056,32.509,34.056,34.056,34.056
233,2022,44.169231,,,,
234,2010,30.815,18.597,28.248,28.089,30.815
234,2011,25.765,22.497,30.991,24.427,25.765
234,2012,17.617,22.334,22.116,14.007,17.617
234,2013,21.286,26.878,22.861,22.328,21.286
234,2014,22.455,18.393,18.478,25.792,22.455
234,2015,23.784,26.636,21.191,21.96,23.784
234,2016,27.932,23.187,28.786,22.903,27.932
234,2017,27.084,25.818,22.395,25.051,27.084
234,2018,21.424,30.617,20.708,22.307,21.424
234,2019,6.081,8.507,8.767,6.081,6.081
234,2021,38.293,27.121,38.293,38.293,38.293
234,2022,35.318,35.385,35.832,35.318,35.318
234,2023,24.153,25.372,24.153,24.153,24.153
234,2024,26.562,22.541,27.715,26.495,26.562
234,2025,44.593,40.216,44.593,44.593,44.593
