field_id,year,y_true,cropwise_pred_asof_0701,cropwise_pred_asof_0801,cropwise_pred_asof_0901,y_model_oof
222,2015,19.893,21.688,17.266,20.51,17.174774425270538
222,2016,16.724,22.264,22.115,15.03,22.197826451905804
222,2017,14.756,16.903,14.756,14.756,23.74657705343904
222,2018,20.337,21.102,15.653,16.461,17.45140242803613
222,2019,25.605,22.677,21.036,24.673,22.88031808327815
222,2020,9.872,24.92,9.872,9.872,15.729971915088544
222,2021,27.129,27.789,22.581,27.158,28.189747500515114
222,2022,34.904,26.5,29.77,35.86,30.411832560088705
222,2023,20.631,25.429,25.3,20.631,25.101329218128253
222,2024,42.83,31.423,42.654,39.848,31.64339205774401
222,2025,29.642,23.774,25.026,25.682,24.388234763597747
223,2010,28.213,28.406,28.314,28.757,22.143328547385156
223,2011,29.624,27.59,29.322,29.256,23.043113027874323
223,2012,13.923,24.442,23.239,18.716,21.593235952304852
223,2013,14.59,19.152,13.755,15.475,16.83473074475257
223,2014,24.033,27.217,23.729,23.132,27.855647817379573
223,2015,14.01,22.44,17.468,14.144,17.68595202853715
223,2016,21.369,21.368,27.089,26.094,21.780310171846203
223,2017,15.957,15.262,15.957,15.957,24.39605443269636
223,2018,15.562,17.241,12.144,12.351,15.218027269142674
223,2019,24.601,19.398,21.35,24.036,24.789730489545416
223,2020,11.26,13.154,11.26,11.26,16.566914452123857
223,2021,26.7,19.953,24.306,26.313,28.060747757769303
223,2022,28.408,29.854,30.817,29.479,27.77062304192544
223,2023,19.374,17.638,18.187,20.345,25.16150982640959
223,2024,42.385,39.329,35.34,42.385,32.298483601531466
223,2025,27.165,23.918,21.723,26.926,26.569156405355844
224,2010,27.485,22.061,30.426,30.71,24.677541074810502
224,2011,22.157,24.916,19.105,23.635,25.03914565746573
224,2012,28.529,21.589,25.847,28.512,21.60307750398684
224,2013,24.626,25.572,28.302,25.673,25.951983930245547
224,2014,26.593,20.854,25.771,26.128,24.37829232414717
224,2015,19.421,25.42,23.752,19.535,22.72553887764212
224,2016,27.308,26.533,29.193,26.993,25.237983146757216
224,2017,18.488,15.905,18.488,18.488,22.971463786066156
224,2018,21.925,21.112,18.034,18.417,22.148107588325267
224,2019,23.3,28.208,24.126,25.131,27.367204564098188
224,2020,17.282,16.532,17.282,17.282,18.02473377081057
224,2021,24.671,26.346,24.054,26.733,26.544808781062496
224,2022,33.052,31.173,35.203,33.052,28.570815202192136
224,2023,22.415,20.122,18.807,22.415,29.688375242768878
224,2024,49.363,43.833,49.363,49.363,32.96978967377547
224,2025,29.077,27.087,27.18,31.024,26.14425509168754
225,2017,20.693,24.988,20.693,20.693,29.65176502017305
225,2019,19.401,27.368,28.852,21.581,26.931137097166683
225,2020,35.471,32.45,35.471,35.471,27.63662425432941
225,2021,21.724,27.541,24.835,23.085,23.67889786697749
225,2022,45.8,47.551,45.8,45.8,33.687691061170646
226,2010,20.662,25.714,18.831,18.826,18.51161021135245
226,2011,25.954,25.572,25.316,23.192,24.24113441485427
226,2012,13.478,23.435,23.574,20.72,20.09177942274357
226,2013,18.177,18.671,19.839,19.374,24.186935687455264
226,2014,22.283,25.923,22.824,21.315,26.247242782589147
226,2015,18.338,27.358,27.465,24.205,24.917556266528305
226,2016,27.698,25.863,26.141,27.255,20.80341781557668
226,2017,26.29,29.087,26.942,27.157,23.659611344444944
226,2018,20.143,19.83,17.157,22.619,24.474655909984342
226,2019,23.403,22.32,23.326,21.576,24.81290724821144
226,2020,15.046,18.243,15.046,15.046,16.382537539532784
226,2021,27.516,20.779,25.431,29.791,25.87707046011554
226,2022,29.26,31.174,25.872,29.26,28.315067136501483
226,2023,21.623,20.064,17.199,21.623,27.1164100522959
226,2024,45.445,52.123,45.445,45.445,30.473770210125668
226,2025,32.845,27.547,29.094,33.879,25.671702269742607
227,2010,27.361,25.381,30.702,29.097,21.018860166343547
227,2011,17.692,25.311,17.47,16.833,21.78104631817262
227,2012,16.476,25.461,21.507,17.598,17.283761410920814
227,2013,20.165,22.244,22.541,25.713,22.60378125556374
227,2014,24.01,28.734,22.76,23.633,20.744274010146977
227,2015,16.342,20.281,24.245,17.598,21.14111280432233
227,2016,18.933,28.472,20.184,17.441,18.89897471812332
227,2017,17.968,29.259,21.183,18.653,24.45576116013585
227,2018,24.438,22.504,20.135,24.276,25.065497244869388
227,2019,19.179,18.331,19.179,19.179,16.12245177165729
227,2020,22.098,18.151,22.098,22.098,18.049077801763637
227,2021,35.711,35.56,35.711,35.711,37.40853734580355
227,2022,32.383,26.258,32.383,32.383,27.38087984850256
227,2023,25.029,19.678,23.906,22.53,25.47478642689679
227,2024,35.776,43.205,37.16,35.776,33.52075087070869
227,2025,28.22,23.936,28.562,28.22,21.10369015580895
228,2010,23.478,24.234,26.774,22.698,18.73074762363057
228,2011,18.424,22.766,23.883,20.636,23.476763475357945
228,2012,11.162,16.278,10.869,11.055,16.966989789405893
228,2013,24.112,27.673,23.166,24.036,28.983830449399385
228,2014,30.21,20.201,21.83,27.265,28.5566975225143
228,2015,16.277,20.985,14.777,13.195,18.628470476481954
228,2016,15.54,26.458,28.206,19.481,23.904964822515502
228,2017,30.466,28.212,27.721,30.336,28.13399702629335
228,2018,64.855,82.518,43.438,55.62,17.193865589813814
228,2019,22.165,15.787,14.007,21.823,26.49312621721867
228,2020,20.305,21.523,20.305,20.305,22.014372601475923
228,2021,37.058,28.911,37.058,37.058,37.89794247507024
228,2022,32.991,28.894,34.387,32.991,29.44572325607237
228,2023,22.995,23.086,22.995,22.995,23.68434589161612
228,2024,26.042,24.487,29.244,30.939,32.344005147918075
228,2025,35.23,32.354,35.23,35.23,36.63973814758783
229,2010,14.924,23.67,20.44,15.966,13.577125059573472
229,2011,16.809,23.874,15.898,14.859,15.08508759192293
229,2012,9.024,15.478,14.025,8.783,14.504296975102015
229,2013,18.671,22.546,25.143,24.913,26.042290044696948
229,2014,18.888,19.121,14.465,17.673,21.0048952554316
229,2015,16.917,20.086,9.883,16.24,13.319559652999478
229,2016,15.335,24.535,17.718,14.764,16.99747932841504
229,2017,23.881,24.871,22.839,20.514,24.65339495466948
229,2018,28.837,91.333,35.665,39.653,16.62698355063146
229,2019,16.983,23.071,15.899,15.674,22.334809633638667
229,2020,22.21,27.312,22.21,22.21,20.079878756551143
229,2021,24.469,23.245,24.469,24.469,23.976204853622505
229,2022,26.656,21.967,30.135,26.656,20.67602204265521
229,2023,20.76,23.58,20.76,20.76,22.423622530210444
229,2024,20.838,27.904,22.287,22.845,24.52261540407986
229,2025,31.488,33.44,31.488,31.488,32.177132222492034
230,2010,25.814,20.938,24.56,22.88,22.77999210864134
230,2011,17.643,30.419,21.326,17.758,24.46169304155647
230,2012,22.159,22.162,29.63,24.147,26.07060912677828
230,2013,28.546,30.342,23.36,25.841,22.93289912686292
230,2014,20.745,28.309,21.971,19.312,24.671628503043944
230,2015,20.985,31.925,25.37,18.443,21.46956255100185
230,2016,21.473,27.07,20.33,20.08,17.845635302102153
230,2017,28.902,23.775,31.72,24.662,31.580150087064755
230,2018,16.839,29.813,19.802,17.911,21.04867090977357
230,2019,39.929,37.936,39.929,39.929,30.81465876166132
230,2020,12.317,12.972,12.317,12.317,16.300220035411282
230,2021,31.34,24.353,31.34,31.34,33.27322070968057
230,2022,31.92,18.525,24.592,27.875,23.638379838414167
230,2023,15.378,14.66,21.049,20.961,14.956771329173828
230,2024,31.278,27.013,31.405,30.899,28.179762817622628
230,2025,29.788,32.042,29.788,29.788,31.94544582436829
231,2010,27.244,25.513,20.591,18.291,21.699668703179285
231,2011,16.755,25.181,17.6,16.81,21.582273413886497
231,2012,17.558,26.424,22.905,17.216,19.14205024921524
231,2013,22.302,18.975,24.97,32.779,27.99298931945705
231,2014,26.751,26.046,25.959,28.739,24.39667414377385
231,2015,19.308,23.057,19.878,21.631,19.17369021477691
231,2016,33.901,25.78,30.971,34.702,24.099961921248788
231,2017,22.209,23.644,22.209,22.209,22.04931931663156
231,2018,9.584,16.974,16.007,13.02,22.77917314655853
231,2019,42.558,39.967,42.558,42.558,30.711641082504368
231,2020,16.897,20.039,16.897,16.897,14.534822986152816
