Поле,Регион,year,Культура,урожайность факт ц/га,урожайность прогноз ц/га,active,field_name_norm,field_id,name,lat,long,tillable_area,prod_fact_t_ha,prod_forecast_t_ha,standard_name,target_yield_t_ha,target_source,diff_prod_fact_minus_target,abs_diff
Палатьи,ВКО,2024,Пшеница яровая,40.271538,34.0,True,палатьи,218,Палатьи,50.39824303171275,82.31658540563066,39.0,4.0271538,3.4,wheat_spring,4.027153846153846,physical_harvested_weight,-4.6153846078311744e-08,4.6153846078311744e-08
Давыдкин увал правый,ВКО,2024,Пшеница яровая,33.303041,41.416,True,давыдкин увал правый,232,Давыдкин увал правый,50.39798984192721,82.45765463681025,296.0,3.3303041,4.1415999999999995,wheat_spring,3.330304054054054,physical_harvested_weight,4.594594615880965e-08,4.594594615880965e-08
Никитушкин,ВКО,2021,Подсолнечник,29.259459,26.041,True,никитушкин,216,Никитушкин,50.46224047423968,82.54079808685997,37.0,2.9259459,2.6041,sunflower,2.925945945945946,physical_harvested_weight,-4.594594615880965e-08,4.594594615880965e-08
Бонн 1,ВКО,2024,Подсолнечник,30.528814,26.042,True,бонн 1,228,Бонн 1,50.50213709474497,82.49442911808288,59.0,3.0528814,2.6042,sunflower,3.052881355932203,physical_harvested_weight,4.4067796967084405e-08,4.4067796967084405e-08
Никитушкин,ВКО,2025,Подсолнечник,29.867568,28.421,True,никитушкин,216,Никитушкин,50.46224047423968,82.54079808685997,37.0,2.9867567999999998,2.8421,sunflower,2.986756756756757,physical_harvested_weight,4.324324276439029e-08,4.324324276439029e-08
Красный яр,ВКО,2024,Подсолнечник,32.950571,26.562,True,красный яр,234,Красный яр,50.4850059296264,82.525315141417,35.0,3.2950570999999997,2.6562,sunflower,3.295057142857143,physical_harvested_weight,-4.285714316765166e-08,4.285714316765166e-08
Соколки 2,ВКО,2024,Пшеница яровая,33.508571,42.385,True,соколки 2,223,Соколки 2,50.43672170185941,82.32653521086154,70.0,3.3508571000000003,4.2385,wheat_spring,3.350857142857143,physical_harvested_weight,-4.285714272356245e-08,4.285714272356245e-08
Красный яр,ВКО,2025,Пшеница яровая семеноводство,44.948571,44.593,True,красный яр,234,Красный яр,50.4850059296264,82.525315141417,35.0,4.4948571,4.459300000000001,,4.494857142857143,physical_harvested_weight,-4.285714272356245e-08,4.285714272356245e-08
Соколки 2,ВКО,2025,Подсолнечник,33.051429,27.165,True,соколки 2,223,Соколки 2,50.43672170185941,82.32653521086154,70.0,3.3051429,2.7165,sunflower,3.305142857142857,physical_harvested_weight,4.285714272356245e-08,4.285714272356245e-08
Красный яр,ВКО,2021,Пшеница озимая,53.891429,38.293,True,красный яр,234,Красный яр,50.4850059296264,82.525315141417,35.0,5.3891429,3.8293,wheat_winter,5.389142857142858,physical_harvested_weight,4.285714272356245e-08,4.285714272356245e-08
