field_id,year,standard_name_x,physical_t_ha,productivity_t_ha,physical_t_ha_raw,productivity_raw,additional_raw,additional_t_ha,additional_crop_id,estimate_raw_max,estimate_t_ha_max,prod_crop_ru,prod_fact_t_ha,prod_forecast_t_ha,yield_map_t_ha,yield_map_n,standard_name_y,factual_target_t_ha,factual_target_source,spread_t_ha,sources_used
225,2019,sunflower,,3.961,,39.61,,,,19.401,1.9401,Подсолнечник,3.961,1.9401,,,sunflower,3.961,productivity_normalized,2.0209,productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
232,2020,oil_seed_raps_winter,,2.23,,2.23,,,,18.421,1.8420999999999998,Рапс озимый,0.223,1.8420999999999998,,,oil_seed_raps_winter,2.23,productivity_normalized,2.007,productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
210,2020,wheat_winter,,2.11,,2.11,,,,21.218,2.1218,Пшеница озимая,0.211,2.1218,,,wheat_winter,2.11,productivity_normalized,1.9107999999999998,productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
223,2020,wheat_spring,,2.1,,2.1,,,,11.26,1.126,Пшеница яровая,0.21000000000000002,1.126,,,wheat_spring,2.1,productivity_normalized,1.8900000000000001,productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
222,2020,wheat_spring,,2.1,,2.1,,,,9.872,0.9872,Пшеница яровая,0.21000000000000002,0.9872,,,wheat_spring,2.1,productivity_normalized,1.8900000000000001,productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
207,2022,wheat_winter,1.8862140474258406,1.9018182,1.8862140474258406,19.018182,,,,29.544,2.9544,Пшеница озимая,1.9018182,2.9544,1.094122807017544,1.0,wheat_winter,1.8862140474258409,physical_harvested_weight,1.8602771929824562,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;yield_map_t_ha;factual_target_t_ha
224,2019,sunflower,,3.961,,39.61,,,,23.3,2.33,Подсолнечник,3.961,2.33,,,sunflower,3.961,productivity_normalized,1.6309999999999998,productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
209,2023,wheat_winter,1.4882148184982598,1.4815842,1.4882148184982598,14.815842,,,,30.968,3.0968,Пшеница озимая,1.4815842,3.0968,,,wheat_winter,1.4882148184982598,physical_harvested_weight,1.6152158,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
225,2021,sunflower,1.85,1.85,1.85,18.5,,,,21.724,2.1724,Подсолнечник,1.85,2.1724,0.582375,1.0,sunflower,1.85,physical_harvested_weight,1.5900250000000002,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;yield_map_t_ha;factual_target_t_ha
234,2021,wheat_winter,5.389142857142858,5.3891429,5.389142857142858,53.891429,,,,38.293,3.8293,Пшеница озимая,5.3891429,3.8293,,,wheat_winter,5.389142857142858,physical_harvested_weight,1.5598429000000005,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
224,2022,wheat_spring,3.079423076923077,3.0794231,3.079423076923077,30.794231,,,,33.052,3.3052,Пшеница яровая,3.0794231,3.3052,1.753303917832358,2.0,wheat_spring,3.079423076923077,physical_harvested_weight,1.5518960821676422,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;yield_map_t_ha;factual_target_t_ha
213,2025,barley_spring,1.53,1.53,1.53,15.3,,,,30.796,3.0796,Ячмень яровой,1.53,3.0796,,,barley_spring,1.53,physical_harvested_weight,1.5496,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
