field_id,year,standard_name_x,physical_t_ha,productivity_t_ha,physical_t_ha_raw,productivity_raw,additional_raw,additional_t_ha,additional_crop_id,estimate_raw_max,estimate_t_ha_max,prod_crop_ru,prod_fact_t_ha,prod_forecast_t_ha,yield_map_t_ha,yield_map_n,standard_name_y,factual_target_t_ha,factual_target_source
209,2010,sunflower,,,,,,,,20.058,2.0058,,,,,,,,
209,2011,sunflower,,,,,,,,21.288,2.1288,,,,,,,,
209,2012,sunflower,,,,,,,,21.412,2.1412,,,,,,,,
209,2013,sunflower,,,,,,,,17.872,1.7872,,,,,,,,
209,2014,sunflower,,,,,,,,27.874,2.7874,,,,,,,,
209,2015,sunflower,,,,,,,,19.986,1.9986000000000002,,,,,,,,
209,2016,sunflower,,,,,,,,25.161,2.5161000000000002,,,,,,,,
209,2017,wheat_winter,,2.2199999999999998,,22.2,,,,31.563,3.1563,,,,,,wheat_winter,2.22,productivity_normalized
209,2018,sunflower,,1.7399999999999998,,17.4,,,,23.351,2.3350999999999997,Подсолнечник,1.7399999999999998,2.3350999999999997,,,sunflower,1.7399999999999998,productivity_normalized
209,2019,oil_seed_raps_spring,,,,,,,,14.083,1.4083,Рапс яровой,,1.4083,,,,,
209,2020,maize,,5.78,,5.78,,,,28.142,2.8142,Кукуруза,0.5780000000000001,2.8142,,,maize,5.78,productivity_normalized
209,2021,sunflower,2.268059008785016,2.2579538,2.268059008785016,22.579538,,,,23.811,2.3811,Подсолнечник,2.2579538,2.3811,,,sunflower,2.268059008785016,physical_harvested_weight
209,2022,wheat_spring,2.657417536880491,2.6455776,2.657417536880491,26.455776,,,,34.979,3.4979,Пшеница яровая,2.6455776,3.4979,2.6710136986301367,1.0,wheat_spring,2.657417536880491,physical_harvested_weight
209,2023,wheat_winter,1.4882148184982598,1.4815842,1.4882148184982598,14.815842,,,,30.968,3.0968,Пшеница озимая,1.4815842,3.0968,,,wheat_winter,1.4882148184982598,physical_harvested_weight
209,2024,wheat_winter,4.5289739764627885,6.3839486,4.5289739764627885,63.839486,,,,56.417,5.6417,Пшеница озимая,6.3839486,5.6417,3.31,2.0,wheat_winter,4.5289739764627885,physical_harvested_weight
209,2025,sunflower,2.332040444223438,3.2871963,2.332040444223438,32.871963,,,,30.953,3.0953,Подсолнечник,3.2871963,3.0953,,,sunflower,2.332040444223438,physical_harvested_weight
209,2026,wheat_spring,,,,,,,,,,,,,,,,,
209,2027,sunflower,,,,,,,,,,,,,,,,,
209,2028,,,,,,,,,,,,,,,,,,
209,2029,,,,,,,,,,,,,,,,,,
209,2030,,,,,,,,,,,,,,,,,,
210,2000,sunflower,,,,,,,,,,,,,,,,,
210,2001,sunflower,,,,,,,,,,,,,,,,,
210,2002,sunflower,,,,,,,,,,,,,,,,,
210,2003,sunflower,,,,,,,,,,,,,,,,,
210,2004,sunflower,,,,,,,,,,,,,,,,,
210,2005,sunflower,,,,,,,,,,,,,,,,,
210,2006,sunflower,,,,,,,,,,,,,,,,,
210,2007,sunflower,,,,,,,,,,,,,,,,,
210,2008,sunflower,,,,,,,,,,,,,,,,,
210,2009,sunflower,,,,,,,,,,,,,,,,,
210,2010,sunflower,,,,,,,,24.812,2.4812000000000003,,,,,,,,
210,2011,sunflower,,,,,,,,23.706,2.3706,,,,,,,,
210,2012,sunflower,,,,,,,,18.137,1.8137,,,,,,,,
210,2013,sunflower,,,,,,,,19.414,1.9414000000000002,,,,,,,,
210,2014,sunflower,,,,,,,,29.256,2.9256,,,,,,,,
210,2015,sunflower,,,,,,,,24.408,2.4408000000000003,,,,,,,,
210,2016,sunflower,,,,,,,,28.707,2.8707000000000003,,,,,,,,
210,2017,wheat_winter,,2.002,,20.02,,,,24.049,2.4049,,,,,,wheat_winter,2.002,productivity_normalized
210,2018,oil_seed_raps_winter,,0.978,,9.78,,,,17.359,1.7359000000000002,Рапс озимый,0.978,1.7359000000000002,,,oil_seed_raps_winter,0.978,productivity_normalized
210,2019,sunflower,,1.9649999999999999,,19.65,,,,24.037,2.4036999999999997,Подсолнечник,1.9649999999999999,2.4036999999999997,,,sunflower,1.965,productivity_normalized
210,2020,wheat_winter,,2.11,,2.11,,,,21.218,2.1218,Пшеница озимая,0.211,2.1218,,,wheat_winter,2.11,productivity_normalized
210,2021,sunflower,1.4783400809716598,2.4023026,1.4783400809716598,24.023026,,,,29.186,2.9186,Подсолнечник,2.4023026,2.9186,,,sunflower,1.4783400809716598,physical_harvested_weight
210,2022,wheat_spring,3.0655870445344133,3.0906122,3.0655870445344133,30.906122,,,,34.1,3.41,Пшеница яровая,3.0906122,3.41,2.922967359050445,1.0,wheat_spring,3.0655870445344133,physical_harvested_weight
210,2023,pea,1.7267206477732793,1.7408162999999999,1.7267206477732793,17.408163,,,,16.518,1.6518000000000002,Горох,1.7408162999999999,1.6518000000000002,,,pea,1.7267206477732793,physical_harvested_weight
210,2024,wheat_winter,5.519493927125506,5.5194939,5.519493927125506,55.194939,,,,57.541,5.754099999999999,Пшеница озимая,5.5194939,5.754099999999999,,,wheat_winter,5.519493927125506,physical_harvested_weight
210,2025,sunflower,3.192550607287449,3.1925505999999997,3.192550607287449,31.925506,,,,26.162,2.6162,Подсолнечник,3.1925505999999997,2.6162,,,sunflower,3.192550607287449,physical_harvested_weight
210,2026,wheat_spring,,,,,,,,,,,,,,,,,
210,2027,sunflower,,,,,,,,,,,,,,,,,
210,2028,,,,,,,,,,,,,,,,,,
210,2029,,,,,,,,,,,,,,,,,,
210,2030,,,,,,,,,,,,,,,,,,
211,2000,,,,,,,,,,,,,,,,,,
211,2001,,,,,,,,,,,,,,,,,,
211,2002,,,,,,,,,,,,,,,,,,
211,2003,,,,,,,,,,,,,,,,,,
211,2004,,,,,,,,,,,,,,,,,,
211,2005,,,,,,,,,,,,,,,,,,
211,2006,,,,,,,,,,,,,,,,,,
211,2007,,,,,,,,,,,,,,,,,,
211,2008,,,,,,,,,,,,,,,,,,
211,2009,,,,,,,,,,,,,,,,,,
211,2010,,,,,,,,,,,,,,,,,,
211,2011,,,,,,,,,,,,,,,,,,
211,2012,,,,,,,,,,,,,,,,,,
211,2013,,,,,,,,,,,,,,,,,,
211,2014,,,,,,,,,,,,,,,,,,
211,2015,,,,,,,,,,,,,,,,,,
211,2016,,,,,,,,,,,,,,,,,,
211,2017,wheat_winter,,2.4379999999999997,,24.38,,,,18.834,1.8834,,,,,,wheat_winter,2.4379999999999997,productivity_normalized
211,2018,,,,,,,,,,,,,,,,,,
211,2019,sunflower,,1.8679999999999999,,18.68,,,,23.18,2.318,Подсолнечник,1.8679999999999999,2.318,,,sunflower,1.868,productivity_normalized
211,2020,wheat_winter,,3.19,,3.19,,,,24.044,2.4044,Пшеница озимая,0.319,2.4044,,,wheat_winter,3.19,productivity_normalized
211,2021,sunflower,2.1389247311827955,2.1389247,2.1389247311827955,21.389247,,,,29.907,2.9907,Подсолнечник,2.1389247,2.9907,,,sunflower,2.1389247311827955,physical_harvested_weight
211,2022,wheat_spring,,,,,,,,34.704,3.4704,Пшеница яровая,,3.4704,2.5218162421218486,2.0,,,
211,2023,,,,,,,,,,,,,,,,,,
211,2024,,,,,,,,,,,,,,,,,,
211,2025,,,,,,,,,,,,,,,,,,
211,2026,,,,,,,,,,,,,,,,,,
211,2027,,,,,,,,,,,,,,,,,,
211,2028,,,,,,,,,,,,,,,,,,
211,2029,,,,,,,,,,,,,,,,,,
211,2030,,,,,,,,,,,,,,,,,,
212,2000,sunflower,,,,,,,,,,,,,,,,,
212,2001,sunflower,,,,,,,,,,,,,,,,,
212,2002,sunflower,,,,,,,,,,,,,,,,,
212,2003,sunflower,,,,,,,,,,,,,,,,,
212,2004,sunflower,,,,,,,,,,,,,,,,,
212,2005,sunflower,,,,,,,,,,,,,,,,,
212,2006,sunflower,,,,,,,,,,,,,,,,,
212,2007,sunflower,,,,,,,,,,,,,,,,,
212,2008,sunflower,,,,,,,,,,,,,,,,,
212,2009,sunflower,,,,,,,,,,,,,,,,,
